	36	error 36	41	error 41	47	error 47	54	error 54	62	error 62	71	error 71	82	error 82	94	error 94	108	error 108	124	error 124	143	error 143	164	error 164	190	error 190	218	error 218	250	error 250	288	error 288	331	error 331	380	error 380	438	error 438	504	error 504	580	error 580	666	error 666	766	error 766	880	error 880	1013	error 1013
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7754524759877723	0.0	0.0	0.0	18.114430486149388	20.38597727043048	10.284898402110354	13.82890051731304	11.000379907667897	26.33048531142242	12.82652895486968	22.65256755185683	1.7672785429379456	21.978602640735403	-1.5377990127632657	47.236519558693715	21.41076134853948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0115112622144191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6348136360769536	0.0	0.0	0.0	18.25174765768475	19.50451132125708	10.14582006349499	13.58860951478529	11.137453697038639	26.31998713911242	13.299414188329711	23.227422475086108	1.8287118619831197	21.841519600692795	-0.5499647551683958	45.58817061803024	20.930661950244748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0231550335866073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4948834784435829	0.0	0.0	0.0	18.383134164472732	18.622091582192677	10.006413892034967	13.348646408500027	11.265689109610191	26.292536027787147	13.780893624451886	23.864239580853486	1.896161184728907	21.702000852801998	0.42854529811034264	43.96084949791769	20.452425252928528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0349328394642257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3557270120888644	0.0	0.0	0.0	18.50846890915183	17.73898369257887	9.866768885239768	13.109176844045768	11.384958574894274	26.24779396891468	14.270893450172542	24.562789208400623	1.96965711319614	21.560138882492865	1.397354760219601	42.35571173320436	19.97629627065283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0468462227536115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21741141397473587	0.0	0.0	0.0	18.62763240744112	16.855464981850268	9.726979424182453	12.870392963807761	11.495139978955157	26.185453175456576	14.769326419960002	25.322556272437186	2.0492240624268496	21.416040383414842	2.3560840228296573	40.773975698628	19.502529847770887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0588967441219026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08000609045754666	0.0	0.0	0.0	18.740507024113978	15.971824881782494	9.587145513641676	12.632514792142036	11.59611715037623	26.10523700518986	15.276091110009741	26.14277690459243	2.134879840675947	21.269826715912476	3.3043505012292087	39.216929388448	19.031390998433714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0710859822014844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.056417259600426116	0.0	0.0	0.0	18.846977221884345	15.088365352633307	9.447373031831656	12.395791521333756	11.687780370799263	26.00690100678272	15.791071139691729	27.022475373820335	2.2266352098110294	21.12163432293373	4.241768897733827	37.68593807526267	18.56315525748284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0834155337967943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.19178457999551046	0.0	0.0	0.0	18.946929823770766	14.205401323643285	9.307773990082705	12.16050265545099	11.77002691107954	25.890234090569262	16.314134358947918	27.96049919690407	2.3244934251054903	20.97161509336409	5.167951484290687	36.18245292559025	18.098109043111428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0958870140935042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3260193905756648	0.0	0.0	0.0	19.040254289525592	13.323261148378691	9.168466802848219	11.926958959825884	11.8427615941406	25.75505982625107	16.845132000288004	28.955550912228116	2.4284497535787106	20.819936661524423	6.082508405198337	34.70802063477112	17.636550031689268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1085020568701114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4590427188131771	0.0	0.0	0.0	19.126843006740216	12.442287075415237	9.02957656842792	11.69550315318665	11.905897385654775	25.601237870058966	17.383897793981177	30.006215545815696	2.5384909700046268	20.666782630242974	6.985048000899226	33.2642941145194	17.17878754516017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
