	36	error 36	41	error 41	47	error 47	54	error 54	62	error 62	71	error 71	82	error 82	94	error 94	108	error 108	124	error 124	143	error 143	164	error 164	190	error 190	218	error 218	250	error 250	288	error 288	331	error 331	380	error 380	438	error 438	504	error 504	580	error 580	666	error 666	766	error 766	880	error 880	1013	error 1013
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0115112622144191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5860390598209217e-06	0.0	0.0	0.0	3.687573902062381e-05	7.539525632913564e-06	2.436828668489027e-05	2.877142096660721e-05	6.905952065308226e-06	4.680532930996724e-06	6.087280712621542e-05	0.00010214814694809059	2.3190395898822954e-05	5.037938376569856e-05	3.150580385812289e-05	1.294545444590384e-05	4.504710210372057e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0231550335866073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.237012319563289e-06	0.0	0.0	0.0	7.492228012704623e-05	1.6381770324020515e-05	4.946532204278723e-05	5.839077678738901e-05	1.3882123471575358e-05	9.37994424461017e-06	0.0001226432791392741	0.00020544675295706947	4.710058195478213e-05	0.00010253114286368743	6.330598993300753e-05	2.598917627080795e-05	9.196805986088023e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0349328394642257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.953610450619756e-06	0.0	0.0	0.0	0.0001140519107716417	2.641136330187963e-05	7.515833948376387e-05	8.871702936479036e-05	2.092712484188142e-05	1.4094825999327119e-05	0.0001851898774094236	0.0003098041089963111	7.163532736326046e-05	0.0001562057981604792	9.539227153340767e-05	3.913585984605946e-05	0.00014044695736619052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0468462227536115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0736500330846981e-05	0.0	0.0	0.0	0.0001541694271339514	3.750304946516559e-05	0.00010130448211175323	0.00011959470049839636	2.803943065047462e-05	1.882154913205191e-05	0.0002483818447771139	0.00041511351456361545	9.669192574322402e-05	0.00021113413668986952	0.00012775564361528258	5.23904838856082e-05	0.0001901435419658091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0588967441219026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.358632297267536e-05	0.0	0.0	0.0	0.0001951717532342758	4.952118403577704e-05	0.0001277503034005521	0.00015085423876526615	3.5217372453605994e-05	2.3556255312468157e-05	0.0003120787518870133	0.0005212545648476768	0.00012215982225234016	0.0002670262713248893	0.00016038634776996318	6.575832679340983e-05	0.00024069201466477607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0710859822014844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6503691348602848e-05	0.0	0.0	0.0	0.00023694754378981086	6.231920557045386e-05	0.00015433124678987866	0.00018231243969522802	4.245913183746274e-05	2.8294848800766683e-05	0.0003761300244362921	0.0006280947792192613	0.00014792022490834844	0.0003235706591477983	0.00019327383575975393	7.924498297755875e-05	0.000291699769364716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0834155337967943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.948918810977235e-05	0.0	0.0	0.0	0.00027937677017485945	7.573908647930069e-05	0.00018087110337816002	0.00021377296992673142	4.976273307224754e-05	3.3032988359081045e-05	0.00044037445059332133	0.0007354916309795655	0.00017384569949880274	0.0003804330786113661	0.00022640673154492532	9.285638020074596e-05	0.0003427460789310585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0958870140935042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2543363193162107e-05	0.0	0.0	0.0	0.0003223302888226532	8.961076016761945e-05	0.00020718144685790535	0.0002450270576722681	5.7126035461037727e-05	3.776607927702925e-05	0.0005046396678150853	0.0008432950504274229	0.00019979974743814817	0.00043725556570176077	0.0002597727917439506	0.00010659879804080013	0.0003933807260140946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1085020568701114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5666731312747052e-05	0.0	0.0	0.0	0.0003656693913815162	0.00010375152388429883	0.00023306104480761195	0.0002758544285045905	6.454672537164116e-05	4.248926558366689e-05	0.0005687416282628476	0.0009513504871890495	0.00022563636590713392	0.0004936553095761877	0.00029335886446670484	0.00012047888753931593	0.00044312257647058807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.121262314711966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8859769329808788e-05	0.0	0.0	0.0	0.0004092453359123202	0.00011796541632558857	0.0002582952454210308	0.0003060245890898871	7.202230793922396e-05	4.7197422532259854e-05	0.0006324840419857015	0.0010595026334706136	0.0002511995895846725	0.0005492235085974108	0.0003271508464580891	0.0001345036921206374	0.0004914580931521283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.134169459227762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.212291349738523e-05	0.0	0.0	0.0	0.00045289885838753046	0.00013204256900749988	0.00028265533872034846	0.00033529859474758125	7.955009842703507e-05	5.1885149461026504e-05	0.0006956577970107342	0.0011675999274212555	0.00027632301325652547	0.0006035241883887328	0.0003611336384872481	0.00014868066986774015	0.0005378397877430716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1472251812685188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.545655657365721e-05	0.0	0.0	0.0	0.0004964596637244453	0.00014575853038308585	0.00030589789126426396	0.00036343148348068355	8.712721323207858e-05	5.6546763152899846e-05	0.0007580403554464144	0.0012754999749156112	0.0003008292945584533	0.0006560929845902247	0.00039529109891512623	0.0001630177172457855	0.0005816846082444028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1604311911490852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.886104479887001e-05	0.0	0.0	0.0	0.0005397458955565943	0.0001588735616425967	0.0003277640533251176	0.00039017562492371936	9.475056052210226e-05	6.11762918410696e-05	0.000819395124672614	0.0013830760482496836	0.00032452963608381924	0.0007064358945718525	0.00042960599537064165	0.00017752319436828223	0.0006223722596103063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.173789218872193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.233667473017823e-05	0.0	0.0	0.0	0.0005825635839175234	0.00017113190309480395	0.00034797883747103174	0.0004152853253251476	0.00010241683048976202	6.57674700353556e-05	0.000879470802656191	0.001490224840472938	0.00034722324605692914	0.0007540280047049364	0.00046405995446316644	0.00019220595190481442	0.0006592434549513467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
