time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	
ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
5.7556	NaN	10.75	5.3414	NaN	4.0029e-05	6.3434	NaN	0.00019337	6.2545	NaN	2.3154e-05	5.798	NaN	7.8563	5.9556	NaN	9.4888e-05	5.2889	3.4901e-14	NaN	5.3455	NaN	11.281	6	NaN	0.0017994	6.3556	NaN	0.0014478	5.796	NaN	NaN	6.0465	NaN	NaN	5.202	NaN	0.00046116	6.2808	0.0023026	0.0024908	5.2848	NaN	0.00014965	6.0848	NaN	0.00046048	5.9879	NaN	17.114	5.3939	NaN	NaN	6.3495	NaN	NaN	5.2	NaN	8.9188	5.3899	NaN	6.9629	6.0687	NaN	0.00010921	5.2909	NaN	3.1222	6.3152	NaN	9.2784	6.2404	NaN	0.00015745	5.3737	NaN	0.28989	6.3475	NaN	0.044163	6	NaN	NaN	6	NaN	14.822	6.3596	1.4165e-13	NaN	6.3374	NaN	0.00082447	6.2141	NaN	0.7365	5.802	NaN	9.8493	5.7374	NaN	0.012831	5.3293	1.3069e-11	NaN
6.9556	NaN	17.483	6.1414	NaN	17.289	7.1434	NaN	0.00026439	7.0545	NaN	NaN	6.998	NaN	6.8145	7.1556	2.2337e-14	NaN	6.0889	NaN	0.00020662	6.1455	NaN	10.104	7.2	NaN	0.001263	7.1556	NaN	0.0055685	6.996	NaN	0.00037132	7.2465	NaN	NaN	6.002	NaN	0.00089601	7.0808	0.0031285	0.003202	6.0848	NaN	0.00027297	7.2848	NaN	0.00039676	7.1879	NaN	0.00021921	6.1939	NaN	15.724	7.1495	NaN	4.7505e-05	6	NaN	8.2074	6.1899	NaN	NaN	7.2687	NaN	0.0011614	6.0909	NaN	1.3015	7.1152	NaN	12.948	7.0404	NaN	0.03974	6.1737	NaN	0.010298	7.1475	NaN	0.44181	7.2	NaN	NaN	7.2	NaN	7.6568	7.1596	2.4873e-14	NaN	7.1374	NaN	0.00037826	7.0141	NaN	0.0014606	7.002	NaN	9.1631	6.9374	NaN	0.0029556	6.1293	NaN	0.012073
8.1556	NaN	0.0079751	6.9414	NaN	14.214	8.3434	NaN	0.0028165	8.2545	2.2849e-14	NaN	8.198	NaN	8.1604	8.3556	NaN	NaN	6.8889	NaN	0.0052306	6.9455	NaN	10.236	8.4	NaN	0.0025042	8.3556	NaN	0.0043817	8.196	NaN	NaN	8.4465	NaN	8.9734e-05	6.802	NaN	0.00092271	8.2808	0.0044844	0.0046162	6.8848	NaN	0.00046187	8.0848	NaN	0.00043856	8.3879	NaN	0.00021339	6.9939	NaN	0.0071929	8.3495	NaN	0.00010209	6.8	3.25e-14	NaN	6.9899	NaN	NaN	8.4687	NaN	0.0005621	6.8909	NaN	18.71	8.3152	NaN	11.669	8.2404	NaN	0.0055859	6.9737	NaN	0.0029088	8.3475	NaN	0.00039637	8.4	NaN	8.1738	8.4	NaN	7.3064	8.3596	NaN	0.0001951	8.3374	NaN	0.00023293	8.2141	NaN	0.00081826	8.202	NaN	0.00030304	8.1374	NaN	0.0027973	6.9293	NaN	0.00055864
9.3556	NaN	0.0085342	8.1414	NaN	2.9338e-05	9.9434	NaN	0.00039225	9.8545	NaN	17.067	9.398	NaN	NaN	9.5556	NaN	0.00092623	8.0889	NaN	0.087545	8.1455	NaN	0.072914	9.6	NaN	0.0064807	9.9556	NaN	0.010084	9.396	NaN	0.00010622	9.6465	NaN	0.00018291	8.002	NaN	0.00031462	9.8808	0.0036813	0.004447	8.0848	NaN	0.00084704	9.2848	NaN	0.00068087	9.5879	NaN	0.012116	8.1939	NaN	13.446	9.9495	NaN	0.00047127	8	4.2005e-13	NaN	8.1899	NaN	NaN	9.6687	NaN	0.00091464	8.0909	NaN	16.595	9.9152	NaN	NaN	9.8404	NaN	0.000429	8.1737	NaN	0.0016322	9.9475	NaN	NaN	9.6	2.2224e-14	NaN	9.6	NaN	10.63	9.9596	NaN	0.00032395	9.9374	NaN	0.000166	9.8141	NaN	0.00084246	9.402	NaN	0.00027925	9.3374	NaN	0.0077569	8.1293	NaN	0.00012135
11.356	NaN	0.017136	9.7414	2.3061e-14	NaN	11.543	NaN	0.0023183	11.455	NaN	2.7461e-05	10.998	NaN	0.025051	11.156	NaN	0.054655	9.6889	NaN	0.19802	9.7455	NaN	3.6175e-05	11.2	NaN	0.0007433	11.556	NaN	0.010559	10.996	NaN	0.00012207	11.246	NaN	0.00047225	9.602	NaN	0.0001332	11.481	0.0071824	0.0071909	9.6848	NaN	0.00068527	11.285	NaN	0.000662	11.188	NaN	0.012115	9.7939	NaN	0.00055884	11.549	NaN	0.0005497	9.6	NaN	0.0013071	9.7899	NaN	6.6179	11.269	NaN	0.00070981	9.6909	NaN	0.0014453	11.515	NaN	0.00025986	11.44	NaN	0.00027623	9.7737	NaN	0.0023508	11.547	2.6093e-14	NaN	11.2	NaN	6.0182e-05	11.2	NaN	0.0044034	11.56	NaN	0.00030055	11.537	NaN	0.00039011	11.414	NaN	0.00018616	11.002	NaN	0.0001191	11.337	NaN	0.0084421	9.7293	NaN	0.00013515
13.356	NaN	3.3883	11.341	NaN	0.065876	13.143	NaN	0.00011684	13.455	NaN	0.00048333	12.998	NaN	NaN	13.156	NaN	0.067871	11.289	NaN	0.063444	11.345	NaN	0.0015138	13.2	NaN	1.7921	13.156	NaN	0.0038988	12.996	NaN	0.00014722	13.246	NaN	0.00026725	11.202	NaN	0.00029534	13.481	0.013236	0.015796	11.285	NaN	0.00032209	13.285	NaN	0.0014272	13.188	NaN	0.0025004	11.394	NaN	0.0024825	13.149	NaN	0.0029959	11.2	NaN	0.0008106	11.39	NaN	0.16295	13.269	NaN	0.00075226	11.291	NaN	0.0054052	13.115	NaN	0.00080405	13.44	NaN	0.00058472	11.374	NaN	0.00018808	13.147	2.2205e-14	NaN	13.2	NaN	7.391e-05	13.2	0.0015458	0.0024409	13.16	NaN	0.00050533	13.137	NaN	4.2205	13.414	NaN	0.0019319	13.002	NaN	0.00025631	13.337	NaN	0.0052361	11.329	NaN	0.00022946
15.356	NaN	1.0626	13.341	NaN	0.018702	15.543	NaN	0.0031373	15.855	NaN	0.0084759	15.398	NaN	5.5442	15.556	NaN	0.0025939	13.289	NaN	0.0010574	13.345	NaN	0.031768	15.2	NaN	0.016777	15.556	NaN	0.014887	15.396	NaN	0.01502	15.246	NaN	0.00035691	13.202	NaN	0.0019293	15.881	0.0062646	0.0082637	13.285	NaN	0.0001454	15.285	NaN	0.0011326	15.588	NaN	0.048974	13.394	NaN	0.00056558	15.549	NaN	0.00014587	13.2	NaN	0.0010477	13.39	NaN	NaN	15.269	NaN	0.0012039	13.291	NaN	0.00010102	15.515	NaN	0.00057634	15.84	NaN	0.0012723	13.374	NaN	0.00024382	15.547	NaN	7.1507e-05	15.2	NaN	0.0002384	15.2	NaN	0.0028458	15.56	0.00097183	0.0011977	15.537	NaN	0.0059516	15.814	NaN	0.0048295	15.402	NaN	0.0025063	15.337	NaN	0.01287	13.329	NaN	0.0062064
18.156	NaN	0.023752	15.741	NaN	5.7824e-05	18.343	NaN	0.0018722	18.255	NaN	0.0056444	18.198	2.2204e-14	NaN	18.356	NaN	0.00059459	15.689	NaN	0.0001376	15.745	NaN	8.3547	18	NaN	0.21514	18.356	NaN	0.012755	18.196	NaN	0.0042359	18.046	0.0017977	0.0028982	15.602	NaN	0.0092418	18.281	0.0072318	0.0094339	15.685	NaN	0.0003641	18.085	NaN	0.0032891	18.388	NaN	0.0092153	15.794	NaN	0.00039941	18.349	NaN	6.456e-05	15.6	NaN	8.8695e-05	15.79	NaN	7.4928	18.069	NaN	0.00098419	15.691	NaN	0.00084143	18.315	NaN	0.0016731	18.24	NaN	0.0016462	15.774	NaN	0.0023292	18.347	NaN	0.0034141	18	NaN	0.00093384	18	NaN	0.0039069	18.36	NaN	0.0025568	18.337	NaN	0.0029487	18.214	NaN	0.0012725	18.202	NaN	0.0032757	18.137	NaN	0.054561	15.729	NaN	0.00074195
21.356	NaN	0.18637	18.141	NaN	0.00025468	21.543	NaN	0.022447	21.455	NaN	0.62711	21.398	NaN	NaN	21.556	NaN	0.0064903	18.489	NaN	0.00016907	18.145	NaN	0.00072861	21.2	NaN	0.29981	21.556	NaN	0.0031248	21.396	NaN	0.0087526	21.246	NaN	0.0013897	18.402	NaN	0.0081169	21.481	0.014153	0.026405	18.485	NaN	0.0011094	21.285	NaN	0.0030034	21.588	NaN	0.0056839	18.194	0.0046794	0.0066153	21.549	NaN	8.6556e-05	18.4	NaN	0.00040561	18.19	NaN	0.0015049	21.269	NaN	0.00098791	18.491	NaN	0.011515	21.515	NaN	0.007013	21.44	NaN	0.0001434	18.174	NaN	0.0087798	21.547	0.013297	0.021523	21.2	NaN	0.00060004	21.2	NaN	0.0079932	21.16	NaN	0.0024901	21.537	NaN	0.0023439	21.414	NaN	0.0035845	21.402	NaN	0.0075052	21.337	NaN	0.0074583	18.129	NaN	0.0019519
24.956	NaN	4.5983	21.341	NaN	0.78045	25.543	NaN	1.0306	25.455	NaN	0.01378	24.998	NaN	0.00099482	25.156	NaN	0.24255	21.689	NaN	0.00021438	21.345	NaN	0.00047436	25.2	NaN	0.0012593	25.556	NaN	0.0043068	24.996	NaN	0.028539	24.846	0.0031166	0.0048263	21.602	NaN	0.078492	25.481	0.016462	0.020068	21.685	NaN	0.00017134	24.885	NaN	0.0023543	25.188	NaN	0.0017351	21.394	0.0045883	0.0078091	25.549	NaN	0.0014443	21.6	NaN	0.0016467	21.39	NaN	0.00087853	24.869	NaN	0.0008971	21.691	NaN	7.1422	25.515	NaN	0.0088019	25.44	NaN	0.0037322	21.374	NaN	0.035305	25.547	NaN	5.4166	25.2	NaN	0.0013965	25.2	NaN	0.009757	25.16	0.019234	0.029151	25.537	NaN	0.0058796	25.414	0.0084927	0.016411	25.002	NaN	0.0086521	24.937	NaN	0.032992	21.329	NaN	0.0038441
