time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	 time	 Phi	 error	
ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	 ns	 ratio	 ratio	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
29.356	NaN	5.9903	25.341	0.22147	0.64698	29.943	NaN	4.8018	29.855	NaN	0.058545	29.398	NaN	0.0017625	29.556	NaN	0.04596	25.289	NaN	0.0023073	25.345	NaN	0.00057764	30	NaN	0.011978	29.956	NaN	0.0057375	29.396	NaN	0.0055917	29.246	0.0069151	0.0090355	25.202	NaN	0.047474	29.881	0.017586	0.029407	25.285	NaN	0.0025497	29.285	NaN	0.00217	29.588	NaN	0.00091244	25.394	0.0082555	0.011468	29.949	NaN	0.00024168	25.2	NaN	0.00016155	25.39	NaN	0.00067455	29.269	NaN	0.00052387	25.291	NaN	0.0077829	29.915	NaN	0.00080198	29.84	0.022059	0.049888	25.374	NaN	0.067346	29.947	NaN	0.91208	30	NaN	0.055068	30	NaN	0.016001	29.96	0.0057758	0.004529	29.937	NaN	5.3544	29.814	0.024554	0.053774	29.402	NaN	0.026667	29.337	NaN	0.014	25.329	NaN	0.090833
34.556	NaN	0.078141	29.741	1	2.7842	35.143	NaN	0.00046945	35.055	NaN	0.054915	34.598	NaN	0.0020294	34.756	NaN	0.0039273	29.689	NaN	0.0012945	29.745	NaN	0.011353	35.2	NaN	0.034219	35.156	NaN	0.0039866	34.596	NaN	0.016275	34.846	NaN	0.0035433	29.602	NaN	0.013248	35.081	0.0096261	0.015437	29.685	NaN	0.0019367	34.485	NaN	0.002587	34.788	NaN	0.011183	29.794	0.0057006	0.010127	35.149	NaN	9.3162e-05	29.6	NaN	0.0065672	29.79	NaN	0.00015345	34.869	NaN	0.00051722	29.691	NaN	0.018667	35.115	NaN	0.0012755	35.04	NaN	0.11154	29.774	NaN	0.054544	35.147	NaN	0.0028512	35.2	NaN	0.0053528	35.2	0.021766	0.036711	35.16	0.01564	0.013983	35.137	NaN	0.014003	35.014	NaN	0.060038	34.602	NaN	0.078146	34.537	0.1207	0.31752	29.729	NaN	0.015576
40.956	0.00068877	0.0011253	34.941	NaN	3.2266	41.143	NaN	0.00017005	41.055	NaN	0.041385	40.998	NaN	0.0034166	40.756	NaN	0.0050861	34.889	NaN	0.0090487	34.945	NaN	0.0020861	41.2	NaN	0.052681	41.156	NaN	0.0099444	40.996	NaN	0.0034194	41.246	NaN	0.13595	34.802	0.099752	0.24474	41.081	0.0055314	0.0075867	34.885	NaN	0.0019256	40.885	NaN	0.0098266	40.788	NaN	0.0089346	34.994	NaN	0.0060936	41.149	NaN	0.00014645	34.8	NaN	0.021613	34.99	NaN	0.017846	41.269	NaN	2.5481e-05	34.891	NaN	0.067319	41.115	NaN	0.023398	41.04	NaN	0.0099923	34.974	NaN	0.1605	41.147	NaN	0.017089	41.2	NaN	0.085359	41.2	NaN	0.021107	41.16	0.01322	0.017988	41.137	NaN	0.57814	41.014	NaN	0.0083536	41.002	NaN	0.059458	40.937	0.22825	0.60885	34.929	0.099956	0.21623
48.556	NaN	0.0079916	40.941	NaN	0.021561	48.343	NaN	0.00062126	48.255	NaN	0.91948	48.198	0.0055072	0.010199	47.956	NaN	0.018444	40.889	NaN	0.020233	40.945	NaN	0.0053946	48.4	NaN	0.0091098	48.356	NaN	0.006624	48.196	NaN	0.005126	48.446	0.0083717	0.015422	40.802	NaN	0.0037858	48.281	0.28651	0.53118	40.885	NaN	0.00045138	48.485	NaN	0.0080598	47.988	NaN	0.012762	40.994	NaN	0.0069581	48.349	NaN	0.00076078	40.8	0.025497	0.055342	40.99	NaN	0.0010988	48.469	NaN	4.0772e-05	40.891	NaN	0.11204	48.315	NaN	0.018353	48.24	NaN	0.006045	40.974	NaN	0.0066721	48.347	NaN	0.0061292	48.4	0.013686	0.025043	48.4	0.016273	0.021054	48.36	0.021466	0.030229	48.337	NaN	0.018084	48.214	0.020647	0.044405	48.202	NaN	0.0017532	48.537	NaN	0.026631	40.929	NaN	0.078749
56.956	NaN	0.039697	48.141	NaN	3.928	56.743	NaN	0.10042	56.655	0.11319	0.24206	56.598	0.010439	0.021865	56.756	NaN	0.009046	48.089	NaN	4.499e-05	48.145	NaN	0.0021213	56.8	NaN	0.00024275	56.756	NaN	0.01727	56.596	NaN	0.025601	56.846	0.0030844	0.0046832	48.002	NaN	0.001361	56.681	0.0050661	0.0072548	48.085	NaN	0.024337	56.885	NaN	0.099916	56.788	0.88371	2.8934	48.194	0.026871	0.050074	56.749	0.00059493	0.00077122	48	NaN	0.0089609	48.19	NaN	0.0097003	56.869	NaN	0.0028773	48.091	NaN	5.2825	56.715	NaN	0.04162	57.04	NaN	0.0031228	48.174	NaN	0.057386	56.747	NaN	0.21069	56.8	0.0071967	0.011299	56.8	0.0055002	0.0075299	56.76	0.017432	0.024534	56.737	NaN	0.083146	57.014	NaN	2.8157	56.602	NaN	0.0051977	56.937	0.0033798	0.0046394	48.129	NaN	3.7008
66.956	NaN	0.026238	56.941	NaN	0.062123	66.743	NaN	0.5574	66.655	0.024598	0.053091	66.998	NaN	0.059579	67.156	NaN	0.0082704	56.889	NaN	5.5111e-05	56.945	NaN	0.031668	66.8	NaN	0.00078426	66.756	NaN	0.002128	66.996	NaN	0.014178	66.846	0.017158	0.031392	56.802	NaN	0.0010797	66.681	0.002217	0.0021391	56.885	NaN	0.04418	66.885	NaN	0.0014681	66.788	NaN	0.012062	56.994	0.070584	0.13941	66.749	0.00087765	0.0012236	56.8	NaN	0.0060197	56.99	NaN	3.0107	66.869	NaN	0.0012822	56.891	0.013178	0.031345	66.715	NaN	0.1342	67.04	NaN	0.00015225	56.974	1	2.4565	66.747	NaN	0.05213	66.8	0.2015	0.28612	66.8	0.0044665	0.0050103	66.76	0.066468	0.10379	66.737	NaN	0.0028752	67.014	NaN	0.077845	67.002	NaN	0.00032881	66.937	0.0017264	0.0017191	56.929	NaN	0.035448
78.956	NaN	0.019618	66.941	NaN	4.9403	78.743	NaN	0.016322	78.655	0.0066867	0.0098558	78.998	NaN	0.0025599	79.156	NaN	0.026694	66.889	NaN	0.00032303	66.945	NaN	0.0067182	78.8	0.00043432	0.00058737	78.756	0.0062422	0.012406	78.996	NaN	0.0073999	78.846	0.0016734	0.002013	66.802	NaN	0.010383	78.681	0.0040595	0.0028483	66.885	NaN	0.0036542	78.885	NaN	0.00093111	78.788	NaN	0.027169	66.994	0.012448	0.026048	78.749	0.0010874	0.0016977	66.8	NaN	0.50124	66.99	NaN	7.7026	78.869	NaN	0.0034504	66.891	NaN	0.071566	78.715	0.018908	0.043272	78.64	NaN	0.0003862	66.974	NaN	0.22051	78.747	0.0033274	0.0059598	78.8	0.05135	0.093058	78.8	0.0078006	0.0080098	78.76	0.017147	0.022368	78.737	NaN	0.0016948	78.614	NaN	0.0060509	79.002	NaN	0.00061431	78.937	0.00396	0.0044265	66.929	0.0093362	0.015751
92.956	NaN	0.0072088	78.541	NaN	0.0099684	92.743	NaN	0.0056234	92.655	0.0048624	0.0094553	92.998	0.001185	0.0020173	93.156	NaN	0.00066166	78.489	NaN	0.0038535	78.545	NaN	0.0034188	92.8	NaN	0.00037985	92.756	NaN	0.00073197	92.996	0.0040662	0.0067096	92.846	0.0052817	0.0049718	78.802	NaN	4.7828	92.681	0.0037512	0.0022723	78.485	NaN	0.0002664	92.885	NaN	0.0012948	93.188	NaN	0.028638	78.594	NaN	0.0072733	92.749	0.0016167	0.0024255	78.8	0.41922	0.84524	78.59	NaN	0.0048892	92.869	NaN	0.0011375	78.491	NaN	5.2032	92.715	0.13178	0.25257	92.64	NaN	0.00020137	78.574	0.99999	2.8086	92.747	0.015707	0.030713	92.8	0.023694	0.038668	92.8	0.0062	0.0048277	92.76	0.01777	0.017647	92.737	NaN	0.0016135	92.614	NaN	0.0060481	93.002	NaN	0.0032262	92.937	0.0028024	0.0023051	78.529	0.012135	0.022598
109.36	0.0024382	0.0035566	92.541	NaN	0.11519	109.14	NaN	0.001518	109.45	0.0052209	0.010227	109.4	NaN	0.0047036	109.56	0.019928	0.041465	92.489	NaN	0.00042823	92.545	NaN	0.0082202	109.2	0.0012104	0.0018134	109.16	0.0004817	0.00070003	109.4	NaN	0.001319	109.25	0.0039721	0.0041481	92.802	NaN	0.0012889	109.08	0.0063911	0.0029761	92.485	NaN	0.00064875	109.28	NaN	0.0010906	109.59	0.0014574	0.0026557	92.594	0.0029612	0.00405	109.15	NaN	0.0018327	92.8	0.010584	0.019181	92.59	NaN	0.002211	109.27	NaN	0.00024242	92.491	NaN	0.0029177	109.12	0.0013892	0.0018498	109.44	0.00019457	0.00018135	92.574	NaN	0.12628	109.15	0.033738	0.067658	109.2	0.011801	0.015833	109.2	0.0033423	0.0037317	109.16	0.011325	0.0098165	109.14	0.0021078	0.0035527	109.41	0.001356	0.0023003	109.4	0.00043007	0.00056407	109.34	0.0046707	0.0042266	92.529	0.0042675	0.0066521
128.56	0.0014525	0.0019056	109.34	0.0013678	0.0023155	128.74	0.030556	0.065636	129.05	0.050119	0.087967	128.6	0.0014579	0.001353	128.76	0.0079977	0.011093	109.29	NaN	0.002255	109.35	NaN	0.0023147	128.8	0.00036986	0.00039786	128.76	0.0010386	0.0010236	128.6	NaN	0.00066863	128.85	0.0037759	0.0035317	109.2	0.00046095	0.00064902	128.68	0.005932	0.0031525	109.28	NaN	0.00021444	128.88	0.00090451	0.00097011	128.79	0.00071375	0.0011326	109.39	0.0061127	0.0083135	128.75	0.0072345	0.010455	109.2	0.022037	0.040067	109.39	0.00073542	0.0011123	128.87	NaN	0.0015871	109.29	NaN	0.0012092	128.72	0.0014054	0.0017794	129.04	0.00022288	0.00018518	109.37	NaN	0.018118	128.75	0.005488	0.0058863	128.8	0.020912	0.021453	128.8	0.0053051	0.0054646	128.76	0.034943	0.029213	128.74	0.00045216	0.00051839	129.01	0.002218	0.002535	128.6	0.0016979	0.0015421	128.94	0.003052	0.002766	109.33	0.0035255	0.0038459
151.76	0.0049204	0.0067209	128.94	0.00099845	0.0014777	151.94	0.0037237	0.005842	151.85	0.0016	0.0015704	151.4	0.0016386	0.002105	151.56	0.0016816	0.0025111	128.89	NaN	0.0053036	128.95	0.0097168	0.012011	152	0.00057077	0.00068551	151.96	0.0020981	0.0020769	151.4	0.001787	0.0011946	152.05	0.0047603	0.0033818	128.8	0.0038576	0.0050941	151.88	0.0043033	0.0021789	128.88	0.00050824	0.00070394	152.08	0.0012127	0.0012692	151.59	0.00025093	0.00032457	128.99	0.0020766	0.0019562	151.95	0.0053569	0.0045796	128.8	0.0084671	0.014545	128.99	0.0040581	0.0041899	152.07	0.00031001	0.00041898	128.89	0.0032179	0.0056182	151.92	0.0026357	0.0022473	151.84	0.00039818	0.0003629	128.97	0.005088	0.0071451	151.95	0.0014919	0.0019412	152	0.0074719	0.0049541	152	0.0057519	0.0053027	151.96	0.0063936	0.0028727	151.94	0.00066486	0.00074275	151.81	0.0019628	0.0024977	151.4	0.00084109	0.0008487	152.14	0.0023562	0.0018723	128.93	0.0069336	0.0082106
178.96	0.00077173	0.00069192	151.74	NaN	0.0067333	178.74	0.0014782	0.0020977	179.05	0.0020306	0.0013876	178.6	0.0041548	0.0036506	178.76	0.0018122	0.0025706	151.69	NaN	0.0056246	151.75	0.0009103	0.0011778	178.8	0.00098193	0.0011876	178.76	0.0011157	0.0013818	178.6	0.0015184	0.0013409	178.85	0.0055023	0.0036655	151.6	0.001699	0.0017392	178.68	0.0079001	0.0035343	151.68	0.00048058	0.00041584	178.88	0.0015743	0.0014466	178.79	0.00072036	0.00081562	151.79	0.0013257	0.0009712	178.75	0.0055006	0.0047192	151.6	0.002643	0.0026235	151.79	0.0055078	0.0062512	178.87	NaN	0.00088424	151.69	0.00055942	0.00079516	178.72	0.0015651	0.0016718	179.04	0.00032178	0.00026412	151.77	0.0037633	0.0068733	178.75	0.0009028	0.0009413	178.8	0.0031065	0.0026955	178.8	0.0075809	0.0061779	178.76	0.0099439	0.0071692	178.74	0.0015944	0.0017802	179.01	0.002722	0.0019345	178.6	0.0025564	0.0032337	178.94	0.0038256	0.003227	151.73	0.003992	0.0040137
210.56	0.0021944	0.0019656	178.94	0.0014732	0.0022229	210.74	0.0015321	0.0017244	211.05	0.0023048	0.0020263	210.6	0.0030197	0.0028717	210.76	0.0035959	0.0025651	178.89	NaN	0.010102	178.95	0.00061896	0.00061096	210.4	0.0015145	0.0012958	210.76	0.00061826	0.00047122	210.6	0.0017041	0.0012077	210.45	0.0039174	0.0031918	178.8	0.0012386	0.00099042	210.68	0.0038909	0.0023026	178.88	0.00032661	0.0003056	210.48	0.0011792	0.0011669	210.79	0.0013973	0.0015071	178.99	0.001103	0.00079012	210.75	0.0064914	0.0079105	178.8	0.0019623	0.0016255	178.99	0.0024943	0.0026681	210.47	0.0014102	0.0020636	178.89	0.0049366	0.0072451	210.72	0.0029627	0.0033133	211.04	0.00041703	0.00034691	178.97	0.0038924	0.0054415	210.75	0.0039484	0.0035978	210.4	0.0041554	0.0038977	210.4	0.0033769	0.0018566	210.76	0.012661	0.0067373	210.74	0.0015201	0.0015924	211.01	0.0037993	0.002919	210.6	0.0011564	0.00089982	210.54	0.0064364	0.0065305	178.93	0.016533	0.015956
248.16	0.0017516	0.0017368	210.94	0.0003006	0.00037597	248.34	0.010641	0.0118	248.65	0.0044965	0.0035978	248.2	0.0011501	0.00090281	248.36	0.0031918	0.0030786	210.89	0.00061546	0.00095875	210.95	0.0017266	0.0015256	248	0.0037687	0.0042706	248.36	0.0018822	0.0016842	248.2	0.0046604	0.0045296	248.05	0.00275	0.001773	210.8	0.0012632	0.0011679	248.28	0.0054578	0.0038117	210.88	0.0012691	0.00083113	248.08	0.00098388	0.00096388	248.39	0.0016647	0.0016483	210.99	0.0013308	0.00072801	248.35	0.0077305	0.0060552	210.8	0.0015511	0.0014815	210.99	0.0045221	0.0038553	248.07	0.00056464	0.00045755	210.89	0.0023559	0.0019181	248.32	0.0024012	0.0016036	248.64	0.00045106	0.00041583	210.97	0.0080805	0.0090224	248.35	0.0027393	0.0021531	248	0.0080767	0.0067635	248	0.0084334	0.0073035	248.36	0.0092654	0.0050682	248.34	0.0014081	0.0012748	248.61	0.012442	0.010254	248.2	0.0018609	0.001763	248.14	0.0059454	0.0049898	210.93	0.0082967	0.0068071
292.56	0.0012395	0.001217	248.54	0.0016645	0.0019376	292.34	0.0032255	0.0031531	292.65	0.006132	0.0050915	292.6	0.0043917	0.0038619	292.76	0.0023517	0.0026078	248.49	0.0051602	0.0081411	248.55	0.0020154	0.0014318	292.4	0.002183	0.0015091	292.36	0.0036042	0.0032509	292.6	0.0057591	0.0049272	292.45	0.0034704	0.002171	248.4	0.0021408	0.0014157	292.28	0.005404	0.0022389	248.48	0.0011277	0.0010205	292.48	0.0017676	0.0012795	292.79	0.0010385	0.00091034	248.59	0.0029636	0.0023849	292.35	0.0061831	0.0059708	248.4	0.0052497	0.0038384	248.59	0.0031721	0.002911	292.47	0.0012288	0.0015504	248.49	0.0017405	0.0020029	292.32	0.0027814	0.0021546	292.64	0.00051658	0.00035936	248.57	0.0065742	0.0051638	292.35	0.0045041	0.0035189	292.4	0.0097366	0.0066606	292.4	0.0044787	0.0031099	292.36	0.015962	0.011253	292.34	0.0013507	0.001261	293.01	0.0051349	0.0040159	292.6	0.0018943	0.0017732	292.54	0.0111	0.01119	248.53	0.015099	0.014965
344.96	0.0026983	0.0029197	292.94	0.0010267	0.00095855	344.74	0.0062547	0.0062816	344.65	0.01246	0.011936	345	0.0059796	0.0048354	345.16	0.0028898	0.0023298	292.89	0.0016729	0.0028645	292.95	0.0040208	0.0030808	344.8	0.0011311	0.0010249	344.76	0.001222	0.0010117	345	0.0084207	0.0095671	344.85	0.0036357	0.0025954	292.8	0.0057185	0.0057611	344.68	0.010158	0.0049071	292.88	0.0013263	0.0011127	344.88	0.0011263	0.00079291	344.79	0.0028832	0.0017753	292.99	0.0033769	0.0030174	344.75	0.012408	0.0098078	292.8	0.0082243	0.0078389	292.99	0.0038121	0.0038729	344.87	0.0022401	0.002454	292.89	0.0017546	0.0019539	344.72	0.004153	0.0029795	344.64	0.00041938	0.00036286	292.97	0.024264	0.030219	344.75	0.0040885	0.0040601	344.8	0.007832	0.0044702	344.8	0.011631	0.0090681	344.76	0.0087309	0.0052526	344.74	0.0014602	0.0009795	345.01	0.0090021	0.0068324	345	0.00098614	0.00082756	344.94	0.0066145	0.0053016	292.93	0.006012	0.0036275
406.56	0.0047507	0.0037886	344.94	0.00094009	0.00086398	406.34	0.002357	0.0021395	406.25	0.0087695	0.0070145	406.6	0.014022	0.016409	406.76	0.0084809	0.0073052	344.89	0.0002591	0.00037637	344.95	0.0064115	0.0035768	406.4	0.0015315	0.001208	406.36	0.0021592	0.0023502	406.6	0.046085	0.041627	406.45	0.010102	0.0085971	344.8	0.007746	0.0062781	406.28	0.013335	0.0055657	344.88	0.0016461	0.0014841	406.48	0.0019966	0.0015621	406.39	0.0029227	0.0022162	344.99	0.0025354	0.0025837	406.35	0.0083326	0.0067018	344.8	0.0046452	0.0033808	344.99	0.0037132	0.0048467	406.47	0.0009004	0.00085176	344.89	0.0023545	0.0023652	406.32	0.004805	0.0032187	406.24	0.0026802	0.0019611	344.97	0.027451	0.036663	406.35	0.0033066	0.0025645	406.4	0.0097397	0.0074991	406.4	0.0041997	0.0035859	406.36	0.010904	0.0058586	406.34	0.0025825	0.0016357	406.21	0.013513	0.0096316	406.6	0.0019762	0.0015398	406.54	0.015857	0.017751	344.93	0.011395	0.0086186
478.96	0.0051638	0.0041947	406.54	0.0007874	0.00091248	479.14	0.0025945	0.0021886	479.05	0.007891	0.005305	479	0.0088831	0.0050038	479.16	0.0044403	0.0036505	406.49	0.0074697	0.011734	406.55	0.0095994	0.0061359	478.8	0.001403	0.0010369	478.76	0.0025376	0.0020923	479	0.011501	0.0068714	478.85	0.01029	0.0063949	406.4	0.0046758	0.0038835	479.08	0.025602	0.013058	406.48	0.00095629	0.00081076	478.88	0.0025117	0.0017567	479.19	0.0036334	0.0025011	406.59	0.0041498	0.0043642	478.75	0.01384	0.0093183	406.4	0.011482	0.0097438	406.59	0.0031748	0.003438	478.87	0.0027897	0.0033292	406.49	0.0030301	0.0030003	479.12	0.0078657	0.0066111	479.04	0.00251	0.0016352	406.57	0.026848	0.028702	478.75	0.008277	0.0057009	478.8	0.014201	0.0071907	478.8	0.0057901	0.0040273	478.76	0.032196	0.01474	479.14	0.0027862	0.0017614	479.01	0.014801	0.0092302	479	0.0053153	0.0037036	478.94	0.013651	0.0096168	406.53	0.0145	0.0094948
564.56	0.018054	0.011735	479.34	0.0034839	0.0028367	564.74	0.0079487	0.0056995	564.65	0.013207	0.0060536	564.6	0.012041	0.0060143	564.76	0.023824	0.019021	479.29	0.0035476	0.0045937	479.35	0.030264	0.027977	564.4	0.0082815	0.0063524	564.36	0.011071	0.0063664	564.6	0.024591	0.016507	564.45	0.02273	0.012194	479.2	0.0043873	0.0033668	564.68	0.049395	0.026693	479.28	0.0040185	0.0034183	564.48	0.009313	0.0051715	564.79	0.0099867	0.006597	479.39	0.0069629	0.0062894	564.35	0.078278	0.04626	479.2	0.012526	0.0075423	479.39	0.0071304	0.004362	564.47	0.010385	0.0062021	479.29	0.0034585	0.0029718	564.72	0.024035	0.013934	564.64	0.021242	0.013523	479.37	0.019256	0.017379	564.35	0.019995	0.013759	564.4	0.039879	0.017992	564.4	0.018532	0.0085714	564.36	0.055741	0.022457	564.74	0.0077827	0.0043557	564.61	0.044946	0.022492	564.6	0.04287	0.02595	564.54	0.015087	0.0086054	479.33	0.012297	0.0072937
665.36	0.05445	0.046334	564.54	0.0098851	0.006756	665.54	0.045877	0.027455	665.45	0.038932	0.01866	665.4	0.022152	0.013733	665.56	0.054377	0.034384	564.89	0.0052845	0.0052505	564.55	0.03066	0.019557	665.6	0.0089276	0.0057818	665.56	0.019513	0.012749	665.4	0.037513	0.023244	665.65	0.015498	0.0099796	564.8	0.022819	0.013034	665.48	0.092065	0.046855	564.88	0.010563	0.0058473	665.68	0.044093	0.02863	665.59	0.060497	0.044988	564.59	0.0067506	0.0026461	665.55	0.066289	0.029577	564.8	0.021192	0.010788	564.59	0.041022	0.022947	665.67	0.061831	0.0379	564.89	0.021429	0.014712	665.52	0.062753	0.034715	665.44	0.076531	0.051874	564.57	0.05842	0.045929	665.55	0.063732	0.039453	665.6	0.096705	0.046946	665.6	0.048978	0.022639	665.56	0.06177	0.024994	665.54	0.010133	0.0061444	665.41	0.093085	0.054081	665.4	0.094461	0.061071	665.34	0.05844	0.059112	564.93	0.024176	0.012287
784.16	0.066037	0.047592	665.34	0.031143	0.022242	784.34	0.11198	0.065918	784.65	0.051026	0.030802	784.2	0.018872	0.010525	784.36	0.064092	0.040864	665.69	0.1529	0.17592	665.35	0.023263	0.014562	784.4	0.0075157	0.0054955	784.36	0.013673	0.011276	784.2	0.021716	0.014743	784.45	0.021712	0.010585	665.6	0.065478	0.029469	784.68	0.093998	0.047901	665.68	0.070637	0.044581	784.48	0.05897	0.039465	784.39	0.082416	0.055913	665.39	0.016039	0.0066807	784.35	0.041576	0.018137	665.6	0.068621	0.040349	665.39	0.040325	0.017589	784.47	0.050114	0.028734	665.69	0.061467	0.039056	784.72	0.11174	0.070963	784.64	0.10966	0.070217	665.37	0.19217	0.1013	784.35	0.042576	0.027097	784.4	0.098122	0.050319	784.4	0.052175	0.027944	784.36	0.065171	0.031973	784.74	0.01088	0.0059577	784.61	0.12679	0.089889	784.2	0.088119	0.04347	784.14	0.0262	0.017824	665.73	0.063832	0.036968
924.56	0.077979	0.048541	784.54	0.078122	0.067665	924.34	0.10517	0.062078	924.65	0.053409	0.025386	924.6	0.018502	0.0089068	924.76	0.098757	0.077738	784.49	0.090844	0.084728	784.55	0.028782	0.017394	924.4	0.010392	0.0081672	924.36	0.011623	0.0071096	924.6	0.051372	0.033349	924.45	0.05192	0.044042	784.4	0.15951	0.10432	924.68	0.12429	0.060171	784.48	0.082846	0.047385	924.48	0.068523	0.046365	924.79	0.063228	0.039017	784.59	0.018502	0.0075815	924.35	0.024824	0.012504	784.4	0.075764	0.025947	784.59	0.044525	0.020444	924.47	0.070406	0.044644	784.49	0.064448	0.042048	924.72	0.15862	0.099414	924.64	0.066362	0.040545	784.57	0.20543	0.15218	924.35	0.050861	0.029865	924.4	0.063587	0.023025	924.4	0.038086	0.016763	924.36	0.084048	0.02848	924.74	0.010924	0.0059427	924.61	0.097487	0.060089	924.6	0.082987	0.041814	924.54	0.08097	0.061476	784.53	0.11164	0.056424
1089.8	0.098047	0.073599	924.54	0.052703	0.037898	1089.9	0.081969	0.047764	1089.9	0.041007	0.016922	1089.8	0.011576	0.0045791	1090	0.14796	0.10425	924.49	0.21076	0.22566	924.55	0.026964	0.015643	1089.6	0.0080562	0.004023	1090	0.009326	0.0056359	1089.8	0.045272	0.020661	1089.6	0.024053	0.012097	924.4	0.10712	0.075751	1089.9	0.11473	0.04178	924.48	0.078873	0.05226	1089.7	0.026788	0.019066	1090	0.036611	0.019586	924.59	0.020217	0.0076976	1089.9	0.020966	0.009766	924.8	0.06796	0.028237	924.59	0.0236	0.0095971	1089.7	0.054324	0.032221	924.49	0.067423	0.043855	1089.9	0.086627	0.053395	1089.8	0.059796	0.034924	924.57	0.17034	0.095565	1089.9	0.036835	0.021672	1089.6	0.039756	0.015957	1089.6	0.022929	0.0088569	1090	0.11652	0.035681	1089.9	0.012972	0.0057954	1089.8	0.074924	0.040306	1089.8	0.040646	0.014956	1089.7	0.056198	0.029675	924.53	0.11065	0.047398
1284.6	0.040927	0.023186	1089.7	0.067255	0.046668	1284.7	0.041636	0.024115	1284.7	0.019131	0.0089545	1284.6	0.0081381	0.0040089	1284.4	0.092727	0.050944	1089.7	0.089667	0.08628	1089.7	0.036061	0.022877	1284.4	0.012783	0.0068051	1284.8	0.0071355	0.0047013	1284.6	0.047936	0.025005	1284.4	0.026964	0.011784	1089.6	0.06398	0.035444	1284.7	0.078804	0.020264	1089.7	0.033672	0.018401	1284.5	0.0089586	0.0061025	1284.4	0.017637	0.0082244	1089.8	0.021125	0.0084424	1284.7	0.029722	0.014697	1090	0.052774	0.01743	1089.8	0.014655	0.0066572	1284.5	0.041932	0.019497	1089.7	0.044136	0.024945	1284.7	0.037879	0.019133	1284.6	0.028149	0.012937	1089.8	0.20209	0.12891	1284.7	0.026397	0.012135	1284.4	0.031018	0.013257	1284.4	0.02521	0.012965	1284.8	0.11234	0.025332	1284.7	0.012386	0.0052779	1284.6	0.049586	0.027869	1284.6	0.024243	0.0096719	1284.5	0.073444	0.036373	1089.7	0.11272	0.043222
