time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	
ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
5.7556	NaN	1458	5.3414	NaN	32879	6.3434	NaN	6005.5	6.2545	NaN	35137	5.798	NaN	3413.7	5.9556	NaN	27424	5.2889	1500	NaN	5.3455	NaN	1431.8	6	NaN	2915.3	6.3556	NaN	5408.5	5.796	NaN	Inf	6.0465	NaN	Inf	5.202	NaN	4056.6	6.2808	6769.5	1827	5.2848	NaN	12104	6.0848	NaN	5573.5	5.9879	NaN	1997.3	5.3939	NaN	Inf	6.3495	NaN	Inf	5.2	NaN	5533.7	5.3899	NaN	1243.3	6.0687	NaN	25991	5.2909	NaN	2106.4	6.3152	NaN	1074.5	6.2404	NaN	12720	5.3737	NaN	1634.2	6.3475	NaN	5865.9	6	NaN	Inf	6	NaN	5296.2	6.3596	1500	NaN	6.3374	NaN	4230.3	6.2141	NaN	1206	5.802	NaN	1565.6	5.7374	NaN	2154.5	5.3293	1500	NaN
6.9556	NaN	2269.2	6.1414	NaN	2478.1	7.1434	NaN	13405	7.0545	NaN	Inf	6.998	NaN	805.89	7.1556	1500	NaN	6.0889	NaN	15939	6.1455	NaN	1407.7	7.2	NaN	5198.6	7.1556	NaN	3117.9	6.996	NaN	15621	7.2465	NaN	Inf	6.002	NaN	4630.7	7.0808	6226.2	1490.7	6.0848	NaN	8681.3	7.2848	NaN	8983.9	7.1879	NaN	9745.6	6.1939	NaN	2240.5	7.1495	NaN	29138	6	NaN	8096.9	6.1899	NaN	Inf	7.2687	NaN	12742	6.0909	NaN	2829.2	7.1152	NaN	2503.6	7.0404	NaN	1723.2	6.1737	NaN	2941.4	7.1475	NaN	4453.3	7.2	NaN	Inf	7.2	NaN	4687.5	7.1596	1500	NaN	7.1374	NaN	7441	7.0141	NaN	2732.1	7.002	NaN	1344.2	6.9374	NaN	1984	6.1293	NaN	2779.2
8.1556	NaN	4524.4	6.9414	NaN	4778.8	8.3434	NaN	13250	8.2545	1500	NaN	8.198	NaN	2642	8.3556	NaN	Inf	6.8889	NaN	3032.8	6.9455	NaN	1431.1	8.4	NaN	2684.6	8.3556	NaN	2932.6	8.196	NaN	1.4661e+13	8.4465	NaN	15719	6.802	NaN	5591.4	8.2808	5413	1172.4	6.8848	NaN	6448.6	8.0848	NaN	8911.8	8.3879	NaN	10300	6.9939	NaN	8241.2	8.3495	NaN	25988	6.8	1500	NaN	6.9899	NaN	Inf	8.4687	NaN	11254	6.8909	NaN	2455.7	8.3152	NaN	1591.9	8.2404	NaN	2009.1	6.9737	NaN	3460.3	8.3475	NaN	25163	8.4	NaN	1082.5	8.4	NaN	9271.1	8.3596	NaN	8673.1	8.3374	NaN	12458	8.2141	NaN	4050.5	8.202	NaN	5951.8	8.1374	NaN	2116.9	6.9293	NaN	6144
9.3556	NaN	3349	8.1414	NaN	31861	9.9434	NaN	9136.7	9.8545	NaN	6273.3	9.398	NaN	Inf	9.5556	NaN	8537.9	8.0889	NaN	2820.4	8.1455	NaN	4776.4	9.6	NaN	2626.6	9.9556	NaN	2822.3	9.396	NaN	25677	9.6465	NaN	8387.2	8.002	NaN	6309.8	9.8808	5242.5	1301.1	8.0848	NaN	5077.3	9.2848	NaN	4309.2	9.5879	NaN	3388.5	8.1939	NaN	1593	9.9495	NaN	8486.5	8	1500	NaN	8.1899	NaN	Inf	9.6687	NaN	5279.3	8.0909	NaN	2072.4	9.9152	NaN	Inf	9.8404	NaN	5332.1	8.1737	NaN	3766.2	9.9475	NaN	Inf	9.6	1500	NaN	9.6	NaN	1267	9.9596	NaN	7406.7	9.9374	NaN	9969.6	9.8141	NaN	3988.2	9.402	NaN	6594.5	9.3374	NaN	1472.3	8.1293	NaN	15308
11.356	NaN	4082.8	9.7414	1500	NaN	11.543	NaN	3841.3	11.455	NaN	39697	10.998	NaN	6943.8	11.156	NaN	2547.2	9.6889	NaN	1559.2	9.7455	NaN	28651	11.2	NaN	4278.4	11.556	NaN	2224.2	10.996	NaN	18359	11.246	NaN	3821.7	9.602	NaN	10976	11.481	4302.7	766.05	9.6848	NaN	5157.7	11.285	NaN	3151	11.188	NaN	3721	9.7939	NaN	11723	11.549	NaN	6145.4	9.6	NaN	14747	9.7899	NaN	3261.4	11.269	NaN	3677.5	9.6909	NaN	4578.5	11.515	NaN	7209.2	11.44	NaN	7394.7	9.7737	NaN	3161.7	11.547	1500	NaN	11.2	NaN	19601	11.2	NaN	1963.8	11.56	NaN	7260.3	11.537	NaN	2944.5	11.414	NaN	19957	11.002	NaN	22016	11.337	NaN	1161.7	9.7293	NaN	13891
13.356	NaN	1798.5	11.341	NaN	3681.3	13.143	NaN	6916.2	13.455	NaN	5890.2	12.998	NaN	3.8894e+10	13.156	NaN	1698.3	11.289	NaN	1274.4	11.345	NaN	5223.2	13.2	NaN	1140.1	13.156	NaN	2407	12.996	NaN	7749.6	13.246	NaN	5961.4	11.202	NaN	8343.1	13.481	3797.4	736.67	11.285	NaN	5289.1	13.285	NaN	4676.5	13.188	NaN	3554	11.394	NaN	5090.6	13.149	NaN	4882.2	11.2	NaN	9108.3	11.39	NaN	2987.9	13.269	NaN	4993.6	11.291	NaN	3333	13.115	NaN	3748.9	13.44	NaN	2957.6	11.374	NaN	10067	13.147	1500	NaN	13.2	NaN	22245	13.2	4624	1367.9	13.16	NaN	3669	13.137	NaN	729.44	13.414	NaN	4465.7	13.002	NaN	9487	13.337	NaN	1696.1	11.329	NaN	6089.6
15.356	NaN	1187.1	13.341	NaN	3250.2	15.543	NaN	2888.5	15.855	NaN	2537.1	15.398	NaN	4410.3	15.556	NaN	3282.2	13.289	NaN	3997.3	13.345	NaN	1682.6	15.2	NaN	2225.5	15.556	NaN	2188.2	15.396	NaN	2701.7	15.246	NaN	3330	13.202	NaN	2713.1	15.881	4145.5	946.73	13.285	NaN	5895.3	15.285	NaN	3715.9	15.588	NaN	2067.8	13.394	NaN	4294.3	15.549	NaN	8186.4	13.2	NaN	6357.6	13.39	NaN	Inf	15.269	NaN	2976.4	13.291	NaN	21765	15.515	NaN	3257.8	15.84	NaN	1652.5	13.374	NaN	4274.3	15.547	NaN	20121	15.2	NaN	7290.8	15.2	NaN	1491.2	15.56	5648.6	1512.3	15.537	NaN	1438.9	15.814	NaN	1634.1	15.402	NaN	1795	15.337	NaN	2193.6	13.329	NaN	2553.1
18.156	NaN	1603.7	15.741	NaN	38716	18.343	NaN	3074.1	18.255	NaN	2433.3	18.198	1500	NaN	18.356	NaN	3419.7	15.689	NaN	12130	15.745	NaN	1214.2	18	NaN	1512.1	18.356	NaN	2411.9	18.196	NaN	3840.8	18.046	4470.9	1317.8	15.602	NaN	1620	18.281	3927.3	853.19	15.685	NaN	3894.2	18.085	NaN	2094.9	18.388	NaN	1815.4	15.794	NaN	2854	18.349	NaN	18167	15.6	NaN	18992	15.79	NaN	1842.4	18.069	NaN	4604.4	15.691	NaN	5683.7	18.315	NaN	2655.3	18.24	NaN	1557.2	15.774	NaN	3643	18.347	NaN	1560.7	18	NaN	3860.6	18	NaN	1680.7	18.36	NaN	1742.5	18.337	NaN	2912.4	18.214	NaN	2047.8	18.202	NaN	1394.6	18.137	NaN	955.53	15.729	NaN	4034
21.356	NaN	1045.3	18.141	NaN	14955	21.543	NaN	1801.6	21.455	NaN	778.64	21.398	NaN	4.2879e+13	21.556	NaN	1542.7	18.489	NaN	7706.7	18.145	NaN	3233.8	21.2	NaN	1217.8	21.556	NaN	2616.6	21.396	NaN	2928.3	21.246	NaN	2664	18.402	NaN	1270.8	21.481	3434.7	968.72	18.485	NaN	2347.3	21.285	NaN	2626.5	21.588	NaN	2080.3	18.194	4228.3	1049.8	21.549	NaN	25329	18.4	NaN	3527.4	18.19	NaN	2930.4	21.269	NaN	3564.7	18.491	NaN	1557.3	21.515	NaN	2166.8	21.44	NaN	4850.1	18.174	NaN	2550.9	21.547	2945.7	643.34	21.2	NaN	3372.7	21.2	NaN	1566.1	21.16	NaN	1656.6	21.537	NaN	2263	21.414	NaN	1579	21.402	NaN	1544.4	21.337	NaN	1731.3	18.129	NaN	2337.3
24.956	NaN	777.2	21.341	NaN	735.73	25.543	NaN	1133.4	25.455	NaN	1392.7	24.998	NaN	4595.9	25.156	NaN	1015	21.689	NaN	7333.4	21.345	NaN	4504.7	25.2	NaN	3289.7	25.556	NaN	2817.7	24.996	NaN	1188.1	24.846	4524.7	1292.1	21.602	NaN	1203.4	25.481	3358.7	609	21.685	NaN	5729.2	24.885	NaN	1382.6	25.188	NaN	2966	21.394	4146.7	1222.1	25.549	NaN	4540.5	21.6	NaN	1853.3	21.39	NaN	3974	24.869	NaN	4366.6	21.691	NaN	1144.6	25.515	NaN	1806.4	25.44	NaN	2329.9	21.374	NaN	1505.7	25.547	NaN	916.07	25.2	NaN	2751.6	25.2	NaN	1111.4	25.16	3478.6	804.46	25.537	NaN	1523.4	25.414	3372.9	972.37	25.002	NaN	1868.3	24.937	NaN	924.16	21.329	NaN	2204
