time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	 time	 temperature	 error	
ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	 ns	 K	 k	
3.tdms	 3.tdms	 3.tdms	 4.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	 41.tdms	
29.356	NaN	962.26	25.341	2060.5	611	29.943	NaN	806.89	29.855	NaN	1095.1	29.398	NaN	3323.5	29.556	NaN	1267.1	25.289	NaN	3376.5	25.345	NaN	4513.1	30	NaN	1902.6	29.956	NaN	2075.6	29.396	NaN	1625.6	29.246	3675.7	762.62	25.202	NaN	932.76	29.881	3268.8	796.97	25.285	NaN	2425.9	29.285	NaN	3110.3	29.588	NaN	3358	25.394	3655.8	803.25	29.949	NaN	9713.3	25.2	NaN	7010.2	25.39	NaN	4046.2	29.269	NaN	5503.6	25.291	NaN	2041.8	29.915	NaN	2322.7	29.84	2851.2	848.84	25.374	NaN	1491.3	29.947	NaN	620.36	30	NaN	1104.7	30	NaN	1155.8	29.96	4661.7	688.87	29.937	NaN	867.09	29.814	2772	782.08	29.402	NaN	1661.7	29.337	NaN	1210	25.329	NaN	1071.5
34.556	NaN	1065.5	29.741	1839.3	472.19	35.143	NaN	5904.1	35.055	NaN	877.86	34.598	NaN	3261.4	34.756	NaN	2019.8	29.689	NaN	2794.2	29.745	NaN	1880.6	35.2	NaN	813.14	35.156	NaN	1980.6	34.596	NaN	1472	34.846	NaN	1480	29.602	NaN	1148.1	35.081	3281.4	769.44	29.685	NaN	1601.5	34.485	NaN	2750	34.788	NaN	2015.2	29.794	3726.7	1061.7	35.149	NaN	10259	29.6	NaN	1561.6	29.79	NaN	10114	34.869	NaN	5494.7	29.691	NaN	1221.8	35.115	NaN	3015.6	35.04	NaN	1014.1	29.774	NaN	1776.9	35.147	NaN	1924.6	35.2	NaN	1655.6	35.2	2951.8	672.86	35.16	3947.5	589.93	35.137	NaN	1814.4	35.014	NaN	1264.7	34.602	NaN	1210.5	34.537	2258.9	650.79	29.729	NaN	986.73
40.956	4450	1324.7	34.941	NaN	673.91	41.143	NaN	6103	41.055	NaN	891.57	40.998	NaN	1585.6	40.756	NaN	1234.7	34.889	NaN	1526.3	34.945	NaN	1596.1	41.2	NaN	1461.4	41.156	NaN	1758.9	40.996	NaN	1658.5	41.246	NaN	795.43	34.802	2265.4	610.15	41.081	3507.5	738.49	34.885	NaN	2364.9	40.885	NaN	2127.8	40.788	NaN	1774.2	34.994	NaN	1403.8	41.149	NaN	7231.3	34.8	NaN	1519.6	34.99	NaN	2124.7	41.269	NaN	12979	34.891	NaN	1350.4	41.115	NaN	1408.3	41.04	NaN	1480.5	34.974	NaN	1441.2	41.147	NaN	1135.3	41.2	NaN	961.41	41.2	NaN	1021.6	41.16	3556.7	750.44	41.137	NaN	921.45	41.014	NaN	1363	41.002	NaN	887.74	40.937	2116.6	586.07	34.929	2272.9	541.21
48.556	NaN	2008.1	40.941	NaN	2099	48.343	NaN	3384.7	48.255	NaN	897.76	48.198	3432.5	960.53	47.956	NaN	1200.3	40.889	NaN	3030.1	40.945	NaN	1254.7	48.4	NaN	1340.8	48.356	NaN	1901.8	48.196	NaN	2613.5	48.446	3208.9	850.27	40.802	NaN	1367.2	48.281	2188.8	433.07	40.885	NaN	3549.7	48.485	NaN	1686.4	47.988	NaN	1642.1	40.994	NaN	1331.2	48.349	NaN	2066.2	40.8	2809.7	793.85	40.99	NaN	2444.2	48.469	NaN	30142	40.891	NaN	1517.3	48.315	NaN	1046.5	48.24	NaN	1422	40.974	NaN	1843.8	48.347	NaN	1568.9	48.4	2965.2	735.76	48.4	3117.9	567.97	48.36	3098.3	611.45	48.337	NaN	1476.8	48.214	2616.5	693.18	48.202	NaN	1433.6	48.537	NaN	1058.2	40.929	NaN	918.43
56.956	NaN	1330.1	48.141	NaN	847.55	56.743	NaN	1176.3	56.655	2237	519.75	56.598	2923.3	821.44	56.756	NaN	1494.6	48.089	NaN	29734	48.145	NaN	2759.9	56.8	NaN	3750.7	56.756	NaN	1530	56.596	NaN	963.73	56.846	3894.9	979	48.002	NaN	2201.8	56.681	3663.3	830.97	48.085	NaN	1856.4	56.885	NaN	847.8	56.788	1761	512.11	48.194	2827.2	689.06	56.749	5676.2	1604.4	48	NaN	1231	48.19	NaN	1450.1	56.869	NaN	5367.5	48.091	NaN	774.06	56.715	NaN	1277.4	57.04	NaN	1622.3	48.174	NaN	1087.7	56.747	NaN	891.36	56.8	3248	740.06	56.8	3881.6	877.54	56.76	3143	626.56	56.737	NaN	1038.3	57.014	NaN	802.2	56.602	NaN	1219.2	56.937	3932	899.65	48.129	NaN	652.6
66.956	NaN	1068.7	56.941	NaN	866.86	66.743	NaN	920.81	66.655	2632.3	703.13	66.998	NaN	876.89	67.156	NaN	1307.4	56.889	NaN	15298	56.945	NaN	907.35	66.8	NaN	1813.8	66.756	NaN	1558.8	66.996	NaN	1110.2	66.846	3074.1	783.61	56.802	NaN	2093.9	66.681	4692.9	857.47	56.885	NaN	1905.8	66.885	NaN	2045.1	66.788	NaN	1543.7	56.994	2514.2	592.78	66.749	5055	1409.4	56.8	NaN	1380.4	56.99	NaN	907.07	66.869	NaN	3584.1	56.891	2561.4	738.02	66.715	NaN	1029.6	67.04	NaN	3781.5	56.974	1784.1	393.65	66.747	NaN	1193.4	66.8	2255	350.17	66.8	3941	738.06	66.76	2690.6	528.93	66.737	NaN	1708.6	67.014	NaN	867.56	67.002	NaN	3796.7	66.937	4837.5	932.69	56.929	NaN	993.5
78.956	NaN	1024.9	66.941	NaN	689.84	78.743	NaN	1115.6	78.655	3231.6	688.7	78.998	NaN	2035.4	79.156	NaN	995.3	66.889	NaN	3468.3	66.945	NaN	1563	78.8	5449.9	1558.7	78.756	3086.7	857.31	78.996	NaN	1359.7	78.846	4455.3	977.31	66.802	NaN	1246.1	78.681	4689.1	622.67	66.885	NaN	1816.6	78.885	NaN	2094.8	78.788	NaN	1179.2	66.994	3030.5	874.15	78.749	4504.8	1292.8	66.8	NaN	992.81	66.99	NaN	992.31	78.869	NaN	2756.5	66.891	NaN	990.13	78.715	2724.1	792.39	78.64	NaN	2139.4	66.974	NaN	818.21	78.747	3386.4	907.57	78.8	2600.6	577.77	78.8	3720.3	611.89	78.76	3236.9	611.25	78.737	NaN	2013	78.614	NaN	1370.8	79.002	NaN	4950.3	78.937	4478.6	916.4	66.929	3144.4	751.64
92.956	NaN	1122	78.541	NaN	1224.2	92.743	NaN	1446.8	92.655	3493.2	1039.6	92.998	4204.5	1251.8	93.156	NaN	2001.7	78.489	NaN	2537.9	78.545	NaN	1427.5	92.8	NaN	2740.5	92.756	NaN	2429.5	92.996	3521.8	894.7	92.846	3949.4	621.61	78.802	NaN	815.1	92.681	5121.2	626.36	78.485	NaN	3947.6	92.885	NaN	2017.4	93.188	NaN	894.06	78.594	NaN	1179.4	92.749	4242.8	1120.6	78.8	1984.7	393.6	78.59	NaN	1312	92.869	NaN	2390.1	78.491	NaN	775.36	92.715	2296.6	488.62	92.64	NaN	3347.7	78.574	1774.2	445.47	92.747	2748.2	687.7	92.8	2914	636.43	92.8	3919.8	507.59	92.76	3300.9	481.41	92.737	NaN	1299.1	92.614	NaN	1343.8	93.002	NaN	1622.4	92.937	4761.6	749.64	78.529	3136.7	826.17
109.36	3791.5	898.03	92.541	NaN	921.16	109.14	NaN	2095.5	109.45	3460.7	1030.5	109.4	NaN	1174.6	109.56	2780.5	747.1	92.489	NaN	2911.9	92.545	NaN	1094	109.2	4519.3	1247.6	109.16	5215	1551	109.4	NaN	1547.4	109.25	4224.8	774.35	92.802	NaN	1877.5	109.08	4653.8	407.89	92.485	NaN	2391.3	109.28	NaN	1736.8	109.59	3864.6	1159.3	92.594	3848.4	863.85	109.15	NaN	1469	92.8	3100.6	787.95	92.59	NaN	1976	109.27	NaN	2686.7	92.491	NaN	2150.2	109.12	4283	1010.8	109.44	8686.1	2449.9	92.574	NaN	933	109.15	2644.6	658.79	109.2	3331.1	660.74	109.2	4150.7	803.06	109.16	3621.7	493.2	109.14	3899.7	1089.1	109.41	4186.7	1238.4	109.4	5079.7	1337.1	109.34	4461.9	737.1	92.529	3670.1	907.42
128.56	4130.6	935.81	109.34	3795.2	1044	128.74	2565.3	668.33	129.05	2617.1	565.93	128.6	4348.4	723.16	128.76	3211.6	641.12	109.29	NaN	1969.5	109.35	NaN	1529.6	128.8	5668.3	1328.2	128.76	4483.7	809.54	128.6	NaN	1823.1	128.85	4251	700.94	109.2	5298.9	1545.1	128.68	4676.1	469.38	109.28	NaN	2829.7	128.88	4882.4	1020.8	128.79	4615.7	1370.4	109.39	3589.4	761.98	128.75	3423.5	746.19	109.2	2861.5	686.75	109.39	4184.7	1103.2	128.87	NaN	1695.6	109.29	NaN	1579.6	128.72	4473.9	1036.2	129.04	8290.3	2010.8	109.37	NaN	1197	128.75	3387.2	543.7	128.8	3099.2	445.67	128.8	3799.1	636.36	128.76	3165.1	376.77	128.74	5010.5	1141.3	129.01	4091.2	801.92	128.6	4367.2	713	128.94	4585.9	773.96	109.33	3902.3	705.67
151.76	3448.5	714.23	128.94	4125.3	1053.3	151.94	3479.3	833.03	151.85	4349.8	765.2	151.4	4367.4	1008.5	151.56	4141.1	1069.8	128.89	NaN	1420.5	128.95	3097.1	536.35	152	5345.8	1338.4	151.96	4110.3	700.1	151.4	4321.7	515.41	152.05	4029.9	485.67	128.8	3843.7	832.33	151.88	4970	496.99	128.88	5248.4	1494.7	152.08	4874.6	993.32	151.59	5990.4	1759.9	128.99	4574	800.86	151.95	3647.5	492.4	128.8	3263.6	816.46	128.99	3508.5	556.18	152.07	5278.4	1473.1	128.89	3524.3	947.81	151.92	4125.5	606.89	151.84	7079.6	1666.6	128.97	3227.6	654.72	151.95	4273.1	983.84	152	3660.5	384.24	152	3734	552.84	151.96	4169.1	325.63	151.94	5044.1	1125.1	151.81	4394.2	1009.6	151.4	4852.3	950.14	152.14	4479.1	651.58	128.93	3513.3	639.38
178.96	4910.6	861.87	151.74	NaN	1167.5	178.74	4192.5	1038.4	179.05	4226.2	506.99	178.6	3715.2	522.35	178.76	4043.9	975.57	151.69	NaN	1333.4	151.75	4770.6	1183	178.8	4665.8	1064.1	178.76	4524.9	1033.5	178.6	4432.8	711.3	178.85	3922.8	434.85	151.6	4469.1	836.12	178.68	4489.4	368.3	151.68	5433.9	992.19	178.88	4921.4	886.66	178.79	5065.9	1148.9	151.79	5055	740.59	178.75	3641.2	492.69	151.6	3913.6	645.3	151.79	3446.7	592.91	178.87	NaN	1613	151.69	5042.6	1430.8	178.72	4408.5	852.24	179.04	7615.1	1708.4	151.77	3522.4	990.56	178.75	4739.1	942.43	178.8	4243.4	648.26	178.8	3649.9	469.91	178.76	3832.6	452.16	178.74	4357.8	873.28	179.01	4234.2	528.97	178.6	4096.4	889.47	178.94	3949.4	557.04	151.73	3887.4	646.17
210.56	4227.4	664.86	178.94	4240.4	1125.9	210.74	4313.8	864.99	211.05	4263.1	662.06	210.6	3990.1	639.16	210.76	3843.7	449.6	178.89	NaN	1011.8	178.95	5193.9	1046.1	210.4	4380	675.04	210.76	5062.8	772.55	210.6	4400.6	563.7	210.45	4054.5	562.89	178.8	4821.8	744.74	210.68	5061.9	599.67	178.88	6103.3	1315.7	210.48	5350.4	1104.4	210.79	4568.2	914.97	178.99	5648.3	878.96	210.75	3547	668.91	178.8	4262.3	623.62	178.99	4002.9	722.9	210.47	4269.8	1105	178.89	3483.8	781	210.72	4158	806.77	211.04	7391.5	1642.2	178.97	3512.5	754.53	210.75	3847.3	575.23	210.4	4106.5	662.35	210.4	4213.4	405.76	210.76	3743.4	320.48	210.74	4544.9	880.86	211.01	4114.1	544.25	210.6	4902.3	745.84	210.54	3615.3	575.54	178.93	3181.2	438.79
248.16	4345.5	771.73	210.94	5631.1	1526.6	248.34	3233.8	518.77	248.65	3853.4	506.5	248.2	4733.1	707.98	248.36	3932.7	632.35	210.89	4143.7	1117.2	210.95	4486	726.47	248	3860.5	719.63	248.36	4146	642.38	248.2	3804	601.76	248.05	4210	475.16	210.8	4817.8	859.91	248.28	4525	582.82	210.88	4825.1	610.68	248.08	5647.6	1201.8	248.39	4504.3	819.77	210.99	5569.7	655	248.35	3466.5	413.25	210.8	4571.7	811.34	210.99	3667.8	495.75	248.07	5248.6	874.55	210.89	4029.9	556.6	248.32	4398.7	530.79	248.64	7152.8	1716.8	210.97	3232.2	521.87	248.35	4222.2	582.16	248	3700.1	494.36	248	3624.4	493.38	248.36	3854.5	346.44	248.34	4753.3	822.54	248.61	3416.6	424.06	248.2	4498.7	782.72	248.14	3618.5	476.8	210.93	3531.6	446.99
292.56	4621.6	849.83	248.54	4286.7	884.99	292.34	3921.5	637.72	292.65	3717.1	494.06	292.6	3824.5	549.48	292.76	4123.1	788.48	248.49	3094.4	683.53	248.55	4602.5	610.5	292.4	4225.3	512.68	292.36	3727.8	539.37	292.6	3592.4	480.02	292.45	3953.6	413.86	248.4	4401	526.04	292.28	4702.4	369.49	248.48	4926.1	874.71	292.48	4914.5	696.81	292.79	4816.7	814.95	248.59	4747.9	729.72	292.35	3573.2	536.83	248.4	3772.6	446.27	248.59	3840.7	577.66	292.47	4406	1005.7	248.49	4301.4	880.07	292.32	4216.1	572.36	292.64	6644.7	1136.8	248.57	3430.1	406.91	292.35	3873.6	499.02	292.4	3557.8	377.48	292.4	3978.5	464.36	292.36	3469.6	372.52	292.34	4673.4	823.73	293.01	3863.4	497.28	292.6	4422	750.79	292.54	3292.5	486.53	248.53	3283.3	476.03
344.96	3975.9	722.82	292.94	4752.1	847.95	344.74	3464.6	529.35	344.65	3289.9	461.7	345	3564.9	447.74	345.16	3769.7	491.44	292.89	3551.9	942.15	292.95	4098.4	539.23	344.8	4573.4	770.16	344.76	4304.7	634.01	345	3313.4	554.39	344.85	3931.7	467.78	292.8	3660.2	583.76	344.68	4311.3	370.9	292.88	4710.9	750.54	344.88	5242.9	758.31	344.79	3935.3	404.12	292.99	4514.4	742.69	344.75	3201.8	363.43	292.8	3424.1	492.29	292.99	3630.3	580.43	344.87	3914.8	712.57	292.89	4268	840.28	344.72	3834.2	450.29	344.64	6286.7	1281.9	292.97	2860.8	470.22	344.75	3813.6	617.5	344.8	3674.8	332.99	344.8	3368.1	391.39	344.76	3707.1	356.32	344.74	4613.6	578.83	345.01	3498.2	406.77	345	4683.6	743.25	344.94	3509	431.85	292.93	3737	362.33
406.56	3601.7	449.44	344.94	4647.1	803.05	406.34	3964.1	603.27	406.25	3469	422.53	406.6	3102.7	509.41	406.76	3192.1	393.95	344.89	4782.1	1333.6	344.95	3853.6	353.18	406.4	4321.5	608.06	406.36	3904.7	704.87	406.6	2602.8	288.42	406.45	3274.7	406.86	344.8	3430.8	420.04	406.28	3868.6	266	344.88	4333.7	698.43	406.48	4553.6	660.03	406.39	3810	470.74	344.99	5234.7	1094.7	406.35	3431.6	416.99	344.8	3663.8	422.44	344.99	3579	727.68	406.47	4433.8	762.2	344.89	3854.1	636.12	406.32	3598.3	376.91	406.24	4048.8	504.28	344.97	2739.8	467.2	406.35	3840.4	488.1	406.4	3560.2	425.35	406.4	3833.3	535.66	406.36	3600.1	302.57	406.34	3953.4	419	406.21	3163.8	320.99	406.6	4043.2	535.73	406.54	3056.8	474.76	344.93	3313.4	369.06
478.96	3710.2	481.8	406.54	4651.4	1014.2	479.14	4056.9	583.37	479.05	3565.5	372.35	479	3531.1	306.82	479.16	3613.1	465.87	406.49	2851.7	589.77	406.55	3635	365.99	478.8	4586.5	631.33	478.76	3927.9	539.41	479	3178.9	271.28	478.85	3289.7	299.48	406.4	3642.6	477.26	479.08	3569.3	283.01	406.48	4538.6	711.2	478.88	4400.6	556.3	479.19	3683.9	403.32	406.59	4859.5	992.8	478.75	3398.2	343.23	406.4	3154.2	380.14	406.59	3632.2	619.23	478.87	3737.5	716.81	406.49	3599.5	557.45	479.12	3419.7	433.14	479.04	4275.7	493.1	406.57	2752.7	377.08	478.75	3433.4	357.42	478.8	3558.6	279.52	478.8	3760.2	422.15	478.76	3202.9	210.62	479.14	4625.9	548.03	479.01	3364.1	312.4	479	3673.5	406.28	478.94	3196.8	323.02	406.53	3194.3	299.85
564.56	3290.2	313.33	479.34	3662.8	472.37	564.74	3904.9	464.38	564.65	3613.2	259.75	564.6	3448.2	261.12	564.76	3114.3	349.8	479.29	3315.2	632.42	479.35	3083.2	397.98	564.4	3780.7	469.92	564.36	3597	323.34	564.6	2953.6	268.05	564.45	3014.7	222.06	479.2	3814.4	477.36	564.68	3269.3	257.63	479.28	3618.9	483.37	564.48	3917.1	361.56	564.79	3545.7	362.36	479.39	4354.9	705.64	564.35	2725.3	204.79	479.2	3233.5	281.63	479.39	3524	332.06	564.47	3745.2	359.99	479.29	3677.5	501.94	564.72	3194.8	265.54	564.64	3378.5	321.26	479.37	2962.3	362.29	564.35	3402.2	351.49	564.4	3229	210.51	564.4	3390	234.8	564.36	2950.9	160.63	564.74	4338.1	434.31	564.61	3043	210.56	564.6	3067.2	258.24	564.54	3232.8	266.68	479.33	3442.9	309.28
665.36	2866	322.3	564.54	3598.4	384.56	665.54	3130.7	264.61	665.45	3188.6	218.79	665.4	3172	280.44	665.56	2785.1	227.7	564.89	3477	526.95	564.55	3411.2	327.33	665.6	3759	392.85	665.56	3283.7	313.85	665.4	2721.2	214.14	665.65	3122.3	283.39	564.8	3300.7	276.86	665.48	2999.2	208.77	564.88	3560.3	305.82	665.68	3209.8	299.84	665.59	2865.5	281.58	564.59	4477.7	321.24	665.55	2837.1	166.01	564.8	3233.5	238.09	564.59	2865.4	211.79	665.67	2956.2	245.16	564.89	3164.5	309.29	665.52	2834	205.42	665.44	2833	251.54	564.57	2800.5	285.87	665.55	2954.1	247.28	665.6	2926.5	190.75	665.6	3011.7	190.99	665.56	2899.8	156.46	665.54	4355.3	473.8	665.41	2798.3	210.97	665.4	2851.5	242.69	665.34	2628.9	328.78	564.93	3319.5	248.77
784.16	2791.1	260.52	665.34	3079.9	306.9	784.34	2781.1	211.44	784.65	3104.6	263.03	784.2	3320.8	273.17	784.36	2698.1	217.05	665.69	2334.5	302.14	665.35	3739.3	376.29	784.4	3804.3	452.78	784.36	3422.2	425.55	784.2	2884	259.98	784.45	2959.4	195.36	665.6	2919.3	176.08	784.68	2995.8	208.63	665.68	2872.5	240	784.48	3066	285.31	784.39	2771.9	242.25	665.39	4068.1	289.43	784.35	3116.3	191.34	665.6	2852.7	220.89	665.39	2938.1	172.59	784.47	2999.9	235.3	665.69	2803.7	231.51	784.72	2662.9	211.2	784.64	2695	217.52	665.37	2504	157.06	784.35	3120.5	279.8	784.4	2976.1	207.54	784.4	3021.8	222.62	784.36	2930.6	193.25	784.74	4440.3	442.32	784.61	2707.3	242.8	784.2	2948.7	196.43	784.14	2899.6	263	665.73	2967	233.13
924.56	2781.4	223.63	784.54	2722	299.5	924.34	2830	218.65	924.65	3132.1	210.33	924.6	3396.2	245.14	924.76	2607	252.07	784.49	2460	269.19	784.55	3728.9	361.56	924.4	3570.4	436.34	924.36	3587.7	342.43	924.6	2653.9	214.58	924.45	2720	292.93	784.4	2613.5	210.36	924.68	2970	195.21	784.48	2841.6	213.4	924.48	3030.5	282.66	924.79	2915.2	240.84	784.59	4029.4	280.08	924.35	3437.6	261.93	784.4	2862.5	129.43	784.59	2958.4	183.89	924.47	2944.1	251.79	784.49	2827.9	241.36	924.72	2584.8	197.67	924.64	2921	239.28	784.57	2518	222.94	924.35	3069.9	250.89	924.4	3213.3	167.53	924.4	3183.8	200.4	924.36	2986.2	137.95	924.74	4281.7	412.77	924.61	2852.7	231.56	924.6	3020.7	209.29	924.54	2560.3	235.39	784.53	2786.8	182.2
1089.8	2802.1	273.23	924.54	2904.5	278.83	1089.9	2956.3	233.07	1089.9	3253.4	195.08	1089.8	3634.3	226.41	1090	2554.6	217.59	924.49	2294.1	272.42	924.55	3854.8	367.48	1089.6	3767.1	304.04	1090	3776.3	369.49	1089.8	2758.3	161.56	1089.6	3060	213.68	924.4	2798.8	256.86	1089.9	3098.4	158.12	924.48	2922.7	259.76	1089.7	3420.9	367.02	1090	3203.7	246.22	924.59	3914.8	247.66	1089.9	3537.2	254.47	924.8	2958.2	166.38	924.59	3305.9	197.65	1089.7	3112.9	259.66	924.49	2824.6	240.12	1089.9	2830	228.32	1089.8	3009.7	241.06	924.57	2626.1	182	1089.9	3237.7	275.79	1089.6	3447.7	209.78	1089.6	3484.6	205.63	1090	3095.6	132.76	1089.9	3975.9	298.45	1089.8	3043.4	226.41	1089.8	3410.6	188.76	1089.7	2751.8	186.13	924.53	2826.4	158.31
1284.6	3155.4	253.94	1089.7	2840	258.64	1284.7	3195.7	265.41	1284.7	3647.2	269.55	1284.6	3777.4	301.34	1284.4	2764.9	195.3	1089.7	2558.4	297.95	1089.7	3626	361.7	1284.4	3672.9	310.31	1284.8	3973.8	439.73	1284.6	2850.4	195.68	1284.4	3125.4	192.67	1089.6	3058.9	235.22	1284.7	3462.6	135.4	1089.7	3298.7	264.6	1284.5	3909.9	442.12	1284.4	3536.9	254.71	1089.8	3761.6	242.71	1284.7	3290.8	238.44	1090	3115.6	144.8	1089.8	3545.4	249.15	1284.5	3234.2	217.56	1089.7	3015.5	234.05	1284.7	3174.5	228.8	1284.6	3324.4	225.54	1089.8	2601.2	203.45	1284.7	3418.8	236.79	1284.4	3567.8	236.98	1284.4	3420.6	265.17	1284.8	3460.2	118.6	1284.7	3967.5	283.61	1284.6	3337.9	277.77	1284.6	3687.4	234.13	1284.5	2751.2	174.52	1089.7	2907.1	148.92
1514.2	3036.4	225.47	1284.5	2927.6	263.43	1513.9	3504	290.72	1514.3	3897.8	263.23	1514.2	4259.9	346.89	1514	2807.5	163.07	1284.5	2412.5	273.7	1284.5	3415	300.11	1514	3909.8	286.58	1514	3971.4	345.16	1514.2	2726.8	157.15	1514	3181.3	209.69	1284.4	3162.6	213.37	1514.3	3527	130.94	1284.5	3563	346.73	1514.1	3995.8	367.53	1514	3503.7	309.66	1284.6	3596.4	205.67	1513.9	3054.6	217.7	1284.4	3232.6	226.15	1284.6	3483.6	276.41	1514.1	3555.4	272.34	1284.5	3142.9	191.38	1513.9	3235.6	241.94	1514.2	3583.2	312.13	1284.6	2613.5	204.76	1513.9	3622.7	279.47	1514	3616.7	237.68	1514	2912.1	151.71	1514	3639.6	81.307	1513.9	3634.7	233.77	1514.2	3323.3	276.25	1514.2	3806.7	319.92	1514.1	2964.5	152.16	1284.5	3017.6	180.13
1784.6	3053.1	188.45	1514.1	2972.9	288.79	1784.3	3732.9	265.67	1785.1	3588.9	201.51	1784.6	3834.5	367.57	1784.8	2856.2	157.8	1514.1	2409.7	272.69	1514.1	3224.9	266.29	1784.4	3937.8	214.62	1784.4	3682.8	324.92	1784.6	2911.2	118.95	1784.4	3329.8	178.49	1514	3199.2	179.86	1785.1	3720.1	208.3	1514.1	3199.9	214.13	1784.5	3653.7	262.98	1784.8	3182.3	157.49	1514.2	3362.4	133.07	1784.3	2769.7	139.08	1514	3213.3	197.16	1514.2	3456.9	286.48	1784.5	3683.7	252.88	1514.1	2955.7	241.26	1784.3	3056.9	202.81	1785	3434.4	236.58	1514.2	2755.8	189.91	1784.3	4040.1	324.59	1784.4	3178.6	162.11	1784.4	2862.9	121.15	1784.4	3565.1	83.791	1784.3	3277.8	214.14	1785	3180.8	137.94	1784.6	3321.9	211.7	1784.5	2943.1	155.03	1514.1	3113.3	188.94
2103.8	3103.9	133.08	1784.9	3140.3	274.46	2103.5	3527.7	228.2	2103.9	2799	128.91	2103.8	3181.3	282.67	2103.6	3203.4	183.29	1784.9	2357.7	321.62	1784.9	3337.2	262.27	2103.6	3666.7	182.56	2103.6	3356.3	285.62	2103.8	3243.7	129.28	2103.6	3315.7	186.36	1784.8	3166.9	119.05	2103.9	3807.4	261.53	1784.9	3178.3	97.109	2103.7	3367.5	164.48	2103.6	3159.9	100.44	1785	3217.6	124.56	2103.5	2619.3	118.63	1784.8	3560.8	270.4	1785	2890.5	198.56	2103.7	3244.8	246.21	1784.9	2755.5	200.45	2103.5	2859.9	139.79	2103.8	3312.3	137.45	1785	2769	177.33	2103.5	3505.9	234.15	2103.6	2970.3	106.68	2103.6	2710.1	129.44	2103.6	3726	120.33	2103.5	3105	227.12	2103.8	3084.1	98.373	2103.8	2992.3	139.76	2103.7	2960.7	164.6	1784.9	2994.4	147.51
