time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	
ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	
3.tdms	 3.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	
5.7556	8.2632	5.3414	11.547	6.3434	27.073	6.2545	6.9958	5.798	5.4817	5.9556	42.236	5.2889	10.273	5.3455	24.831	6	101.04	6.3556	86.82	5.796	-2.4918	6.0465	-1.4565	5.202	60.751	6.2808	2843	5.2848	188.9	6.0848	300.63	5.9879	18.523	5.3939	-7.0548	6.3495	15.634	5.2	-5.2297	5.3899	19.927	6.0687	55.726	5.2909	26.158	6.3152	12.83	6.2404	191.06	5.3737	123.44	6.3475	24.537	6	-4.677	6	7.5917	6.3596	0.40614	6.3374	168.68	6.2141	46.743	5.802	98.785	5.7374	50.156	5.3293	2.3557
6.9556	23.476	6.1414	14.124	7.1434	8.9976	7.0545	9.9673	6.998	7.844	7.1556	20.783	6.0889	12.688	6.1455	44.148	7.2	95.87	7.1556	136.2	6.996	5.0002	7.2465	2.5269	6.002	93.244	7.0808	2771.3	6.0848	445.56	7.2848	644.68	7.1879	9.366	6.1939	7.1592	7.1495	20.149	6	-3.1559	6.1899	2.1905	7.2687	59.097	6.0909	18.103	7.1152	6.2019	7.0404	374.22	6.1737	206.66	7.1475	9.6275	7.2	0.37242	7.2	-2.3062	7.1596	42.271	7.1374	250.62	7.0141	87.228	7.002	65.2	6.9374	306.37	6.1293	28.558
8.1556	111.06	6.9414	11.059	8.3434	2.3319	8.2545	0.31259	8.198	-5.4244	8.3556	0.44235	6.8889	24.551	6.9455	36.318	8.4	96.097	8.3556	143.34	8.196	12.008	8.4465	88.013	6.802	118.11	8.2808	2128.8	6.8848	991.02	8.0848	692.33	8.3879	9.9725	6.9939	13.313	8.3495	49.254	6.8	-7.3357	6.9899	-1.2821	8.4687	55.522	6.8909	11.283	8.3152	5.7831	8.2404	719.21	6.9737	196.95	8.3475	3.9168	8.4	11.729	8.4	-2.336	8.3596	354.08	8.3374	257.42	8.2141	124.58	8.202	50.374	8.1374	436.49	6.9293	55.602
9.3556	87.512	8.1414	15.538	9.9434	24.298	9.8545	9.3137	9.398	-9.9996	9.5556	10.385	8.0889	46.351	8.1455	8.0841	9.6	95.312	9.9556	123.74	9.396	55.063	9.6465	317.75	8.002	113.74	9.8808	1481.8	8.0848	2182.4	9.2848	497.99	9.5879	15.924	8.1939	14.107	9.9495	74.125	8	2.7707	8.1899	-0.45833	9.6687	63.176	8.0909	30.313	9.9152	18.163	9.8404	804.34	8.1737	115.7	9.9475	1.0801	9.6	2.2261	9.6	6.6042	9.9596	659.55	9.9374	229.18	9.8141	147.08	9.402	49.259	9.3374	388.41	8.1293	106.85
11.356	39.363	9.7414	17.195	11.543	29.801	11.455	12.137	10.998	0.8361	11.156	56.181	9.6889	60.102	9.7455	11.415	11.2	99.913	11.556	113.71	10.996	83.514	11.246	724.69	9.602	184	11.481	1031.6	9.6848	1717.1	11.285	368.76	11.188	50.45	9.7939	5.065	11.549	55.959	9.6	12.111	9.7899	3.5116	11.269	72.48	9.6909	46.395	11.515	139.47	11.44	556.1	9.7737	52.918	11.547	1.0921	11.2	40.613	11.2	46.709	11.56	605.3	11.537	144.85	11.414	145.35	11.002	79.592	11.337	265.82	9.7293	140.37
13.356	45.337	11.341	34.037	13.143	22.293	13.455	20.906	12.998	0.39426	13.156	54.383	11.289	98.847	11.345	42.25	13.2	118.77	13.156	123.21	12.996	48.877	13.246	677.58	11.202	240.31	13.481	892.17	11.285	822.16	13.285	322.28	13.188	40.435	11.394	49.545	13.149	41.95	11.2	23.464	11.39	4.0425	13.269	73.08	11.291	45.58	13.115	272.95	13.44	359.92	11.374	35.13	13.147	0.56043	13.2	42.882	13.2	346.69	13.16	477.02	13.137	164.33	13.414	118.99	13.002	134.6	13.337	169.83	11.329	86.925
15.356	112.66	13.341	38.178	15.543	49.317	15.855	42.253	15.398	-0.93603	15.556	112.44	13.289	81.663	13.345	77.648	15.2	105.99	15.556	86.53	15.396	40.463	15.246	449.64	13.202	239.1	15.881	711.74	13.285	335.67	15.285	254.49	15.588	82.48	13.394	182.5	15.549	34.088	13.2	41.874	13.39	-4.6214	15.269	35.47	13.291	66.686	15.515	209.43	15.84	168.84	13.374	38.723	15.547	38.486	15.2	30.079	15.2	454.72	15.56	556.93	15.537	140.37	15.814	113.07	15.402	264.37	15.337	163.02	13.329	62.62
18.156	131.34	15.741	31.988	18.343	78.201	18.255	65.949	18.198	4.6465	18.356	134.32	15.689	36.972	15.745	80.017	18	118.59	18.356	56.64	18.196	52.621	18.046	323.48	15.602	184.66	18.281	600.44	15.685	176.72	18.085	275.59	18.388	108.23	15.794	690.71	18.349	41.501	15.6	75.63	15.79	3.7932	18.069	42.376	15.691	77.445	18.315	128.51	18.24	134.67	15.774	122.26	18.347	257.33	18	31.825	18	241.93	18.36	896.33	18.337	123.8	18.214	208.93	18.202	206.78	18.137	142.04	15.729	64.594
21.356	125.05	18.141	24.947	21.543	114.15	21.455	123.78	21.398	8.3848	21.556	138.7	18.489	32.604	18.145	79.18	21.2	89.025	21.556	61.05	21.396	106.58	21.246	367.94	18.402	180.85	21.481	521.53	18.485	165.01	21.285	183.56	21.588	126.24	18.194	640.82	21.549	28.342	18.4	195.09	18.19	34.314	21.269	41.068	18.491	80.519	21.515	155.39	21.44	96.638	18.174	205.3	21.547	156.82	21.2	125.88	21.2	174.23	21.16	723.13	21.537	105.96	21.414	401.17	21.402	160.39	21.337	168.6	18.129	128.17
24.956	128.04	21.341	76.234	25.543	102.46	25.455	94.323	24.998	30.126	25.156	119.06	21.689	79.914	21.345	107.5	25.2	85.24	25.556	79.254	24.996	137.6	24.846	574.87	21.602	218.49	25.481	505.98	21.685	89.555	24.885	135.28	25.188	136.33	21.394	555.46	25.549	38.311	21.6	193.84	21.39	95.583	24.869	33.772	21.691	114.2	25.515	146.16	25.44	159.77	21.374	175.65	25.547	131.25	25.2	128.81	25.2	218.62	25.16	749.1	25.537	99.252	25.414	265.07	25.002	158.59	24.937	207.26	21.329	159.42
29.356	115.95	25.341	101.34	29.943	123.44	29.855	151.1	29.398	44.116	29.556	84.329	25.289	63.456	25.345	90.088	30	82.62	29.956	54.331	29.396	166.22	29.246	388.59	25.202	185.96	29.881	439.91	25.285	130.75	29.285	102.14	29.588	119.25	25.394	437.24	29.949	124.86	25.2	83.648	25.39	31.504	29.269	25.763	25.291	90.929	29.915	151.31	29.84	191.75	25.374	171.83	29.947	135.65	30	182.72	30	261.37	29.96	1324	29.937	123.68	29.814	185.72	29.402	108.93	29.337	172.17	25.329	191.72
34.556	107.68	29.741	135.74	35.143	87.721	35.055	100.28	34.598	63.001	34.756	81.437	29.689	52.418	29.745	103.77	35.2	69.636	35.156	52.31	34.596	140.79	34.846	166.16	29.602	118.06	35.081	262.16	29.685	110.11	34.485	85.001	34.788	123.25	29.794	351.29	35.149	133.72	29.6	145.41	29.79	19.966	34.869	34.819	29.691	90.168	35.115	90.531	35.04	118.96	29.774	90.068	35.147	125.88	35.2	147.17	35.2	257.99	35.16	1380.9	35.137	88.853	35.014	176.58	34.602	61.74	34.537	146.69	29.729	163.55
