time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	 time	 radiance	
ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	 ns	 (W/sr-m^2)	
3.tdms	 3.tdms	 4.tdms	 4.tdms	 5.tdms	 5.tdms	 6.tdms	 6.tdms	 7.tdms	 7.tdms	 8.tdms	 8.tdms	 10.tdms	 10.tdms	 11.tdms	 11.tdms	 12.tdms	 12.tdms	 13.tdms	 13.tdms	 15.tdms	 15.tdms	 16.tdms	 16.tdms	 17.tdms	 17.tdms	 18.tdms	 18.tdms	 19.tdms	 19.tdms	 20.tdms	 20.tdms	 21.tdms	 21.tdms	 23.tdms	 23.tdms	 24.tdms	 24.tdms	 25.tdms	 25.tdms	 26.tdms	 26.tdms	 27.tdms	 27.tdms	 28.tdms	 28.tdms	 29.tdms	 29.tdms	 30.tdms	 30.tdms	 31.tdms	 31.tdms	 32.tdms	 32.tdms	 33.tdms	 33.tdms	 34.tdms	 34.tdms	 36.tdms	 36.tdms	 37.tdms	 37.tdms	 38.tdms	 38.tdms	 39.tdms	 39.tdms	 40.tdms	 40.tdms	 41.tdms	 41.tdms	
210.56	289.51	178.94	195.05	210.74	218.61	211.05	315.88	210.6	279.46	210.76	260.13	178.89	73.327	178.95	237.35	210.4	249.33	210.76	214.58	210.6	284.62	210.45	398.41	178.8	331.71	210.68	1349.8	178.88	267.89	210.48	531.93	210.79	278.93	178.99	633.29	210.75	285.25	178.8	268.47	178.99	239.75	210.47	199.42	178.89	197.65	210.72	355.1	211.04	709.99	178.97	170.52	210.75	289.55	210.4	459.44	210.4	440.28	210.76	789.95	210.74	299.16	211.01	428.83	210.6	336.71	210.54	329.58	178.93	351.48
248.16	274.27	210.94	169.04	248.34	249.06	248.65	333.31	248.2	281.33	248.36	271.95	210.89	71.639	210.95	317.67	248	294.22	248.36	224.67	248.2	322.37	248.05	352.78	210.8	340.67	248.28	1055.2	210.88	331.14	248.08	569.03	248.39	312.78	210.99	713.15	248.35	296.05	210.8	311.43	210.99	256.15	248.07	224.6	210.89	227.41	248.32	400.43	248.64	684.93	210.97	190.05	248.35	348.51	248	467.38	248	432.57	248.36	692.78	248.34	352.09	248.61	431.03	248.2	346.6	248.14	304.78	210.93	360.71
292.56	267.19	248.54	234.93	292.34	273.85	292.65	364.37	292.6	316	292.76	264.66	248.49	89.103	248.55	423.75	292.4	276.59	292.36	219.12	292.6	275.12	292.45	307.57	248.4	352.61	292.28	1279.3	248.48	335.88	292.48	520.73	292.79	276.35	248.59	735.19	292.35	291.82	248.4	344.02	248.59	231.4	292.47	204.42	248.49	253.05	292.32	359.96	292.64	589.37	248.57	233.71	292.35	358.42	292.4	434.3	292.4	407.28	292.36	620.31	292.34	310.26	293.01	392.7	292.6	322.8	292.54	297.29	248.53	395.08
344.96	248.89	292.94	249.94	344.74	237.87	344.65	331.64	345	273.78	345.16	189.48	292.89	79.017	292.95	442.17	344.8	225.17	344.76	172.64	345	228.14	344.85	308.04	292.8	319.73	344.68	1494.5	292.88	311.03	344.88	448.84	344.79	245.25	292.99	635.87	344.75	269.03	292.8	288.43	292.99	196.54	344.87	187.95	292.89	242.49	344.72	298.95	344.64	384.36	292.97	224.67	344.75	292.53	344.8	433.06	344.8	360.92	344.76	507.82	344.74	306.33	345.01	354.82	345	226.73	344.94	266.7	292.93	367.31
406.56	226.47	344.94	210.72	406.34	205.35	406.25	332.51	406.6	247.95	406.76	183.54	344.89	66.038	344.95	483.65	406.4	225.65	406.36	176.51	406.6	201.75	406.45	258.99	344.8	274.37	406.28	1048.7	344.88	252.63	406.48	390.48	406.39	203.87	344.99	1013.2	406.35	299.55	344.8	254.08	344.99	174.98	406.47	159.31	344.89	177.31	406.32	232.61	406.24	271.04	344.97	182.32	406.35	243.85	406.4	448.34	406.4	308.34	406.36	522.08	406.34	227.61	406.21	270.59	406.6	199.39	406.54	245.19	344.93	313.04
478.96	305.88	406.54	175.32	479.14	266.09	479.05	358.68	479	382.56	479.16	221.11	406.49	72.657	406.55	511.23	478.8	285.35	478.76	215.27	479	236.95	478.85	266.76	406.4	245.81	479.08	1199.5	406.48	186.14	478.88	413.75	479.19	202.41	406.59	1145.8	478.75	455.86	406.4	229.46	406.59	167.23	478.87	174.7	406.49	146.73	479.12	273.31	479.04	346.56	406.57	186.07	478.75	290.22	478.8	633.46	478.8	373.85	478.76	696.18	479.14	600.24	479.01	459.64	479	299.15	478.94	291.18	406.53	307.19
564.56	481.07	479.34	189.71	564.74	646.04	564.65	656.92	564.6	433.81	564.76	423.04	479.29	97.712	479.35	510.34	564.4	554.06	564.36	539.75	564.6	293.49	564.45	313.79	479.2	311.28	564.68	1253.6	479.28	206.55	564.48	769.34	564.79	446.49	479.39	1074.7	564.35	494.66	479.2	289.95	479.39	301.62	564.47	661.13	479.29	195.51	564.72	511.05	564.64	670.74	479.37	237.35	564.35	659.14	564.4	905.68	564.4	608.29	564.36	649.31	564.74	1183.1	564.61	670.55	564.6	678.69	564.54	344.08	479.33	443.12
665.36	515.61	564.54	475.78	665.54	832.71	665.45	816.47	665.4	444.22	665.56	399.76	564.89	203.16	564.55	1052.2	665.6	582.97	665.56	512.96	665.4	227.26	665.65	279.05	564.8	612.36	665.48	1237.6	564.88	476.1	665.68	965.57	665.59	567.75	564.59	1218.7	665.55	572.89	564.8	490.21	564.59	386.56	665.67	736.49	564.89	426.62	665.52	531.49	665.44	649.87	564.57	455.12	665.55	763.93	665.6	1060.2	665.6	670.78	665.56	628.29	665.54	1564.9	665.41	719.31	665.4	853.52	665.34	276.84	564.93	674.76
784.16	501.64	665.34	507.54	784.34	818.63	784.65	879.63	784.2	529.6	784.36	366.14	665.69	254.73	665.35	1446.9	784.4	520.37	784.36	476.94	784.2	210.23	784.45	263.72	665.6	713.02	784.68	1237.3	665.68	667.91	784.48	921.87	784.39	585.16	665.39	1672.6	784.35	735.66	665.6	617.08	665.39	456.33	784.47	669.67	665.69	482.13	784.72	565.64	784.64	617.48	665.37	583.79	784.35	764.25	784.4	1229.1	784.4	724.3	784.36	724.36	784.74	1866.5	784.61	745.79	784.2	1029.6	784.14	269.44	665.73	774.06
924.56	578.17	784.54	491.73	924.34	894.06	924.65	979.21	924.6	614.79	924.76	429.23	784.49	241.06	784.55	1773.2	924.4	486.85	924.36	553.67	924.6	258.46	924.45	322.64	784.4	715.22	924.68	1531.2	784.48	714.16	924.48	988.88	924.79	672.12	784.59	1828.6	924.35	882.5	784.4	692.19	784.59	541.57	924.47	813.6	784.49	538.12	924.72	632.09	924.64	713.77	784.57	660.94	924.35	803.6	924.4	1403.6	924.4	793.61	924.36	1078.8	924.74	1536.6	924.61	871.05	924.6	1168.5	924.54	301.6	784.53	830.69
1089.8	780.03	924.54	551.55	1089.9	976.78	1089.9	1006.5	1089.8	598.8	1090	542.45	924.49	302.8	924.55	2048.7	1089.6	526.41	1090	624.54	1089.8	305.75	1089.6	374.29	924.4	837.64	1089.9	1957	924.48	857.03	1089.7	928.65	1090	799.33	924.59	1678.9	1089.9	907.91	924.8	810.43	924.59	640.74	1089.7	964.82	924.49	560.46	1089.9	736.92	1089.8	820.17	924.57	781.65	1089.9	862.8	1089.6	1440.2	1089.6	894.46	1090	1956.7	1089.9	1182.1	1089.8	1119	1089.8	1383.1	1089.7	376.94	924.53	920.74
1284.6	802.31	1089.7	593.78	1284.7	896.75	1284.7	1009.5	1284.6	539.6	1284.4	654.51	1089.7	337.65	1089.7	1864.8	1284.4	713.14	1284.8	649.06	1284.6	429.36	1284.4	491.43	1089.6	999.35	1284.7	2971.6	1089.7	905.56	1284.5	737.08	1284.4	760.87	1089.8	1364.4	1284.7	778.7	1090	924.05	1089.8	645.77	1284.5	983.72	1089.7	611.95	1284.7	764.07	1284.6	801.14	1089.8	866.16	1284.7	913.66	1284.4	1418.1	1284.4	877.02	1284.8	4176.3	1284.7	1114.7	1284.6	1446.7	1284.6	1377.9	1284.5	495.79	1089.7	1165.6
1514.2	820.24	1284.5	579.23	1513.9	901.26	1514.3	1108.3	1514.2	511.75	1514	898.93	1284.5	311.98	1284.5	2087.6	1514	1055.1	1514	535.78	1514.2	558.11	1514	562.08	1284.4	932.21	1514.3	3917.8	1284.5	781.44	1514.1	682.58	1514	770.93	1284.6	1304.4	1513.9	642.01	1284.4	1011.9	1284.6	586.53	1514.1	1044.5	1284.5	568.32	1513.9	779.74	1514.2	742.09	1284.6	938.27	1513.9	1060.4	1514	1421.9	1514	1220.8	1514	7274.8	1513.9	1080.5	1514.2	1805.6	1514.2	1248.6	1514.1	600.22	1284.5	1285.2
1784.6	987.69	1514.1	569.02	1784.3	770.67	1785.1	1160.5	1784.6	395.85	1784.8	1065.8	1514.1	297.29	1514.1	2827.4	1784.4	1476.1	1784.4	532.94	1784.6	1602.2	1784.4	698.71	1514	1175.6	1785.1	7445.5	1514.1	942.01	1784.5	820.65	1784.8	1173.9	1514.2	1385.4	1784.3	597.66	1514	1239.5	1514.2	499.29	1784.5	652.86	1514.1	603.18	1784.3	865.51	1785	827.61	1514.2	1047.7	1784.3	997.78	1784.4	1631	1784.4	2233.1	1784.4	8732.9	1784.3	1139	1785	2569.8	1784.6	1055.5	1784.5	641.66	1514.1	1527.7
2103.8	1288.4	1784.9	558.31	2103.5	551.66	2103.9	1134.3	2103.8	297.11	2103.6	1654.4	1784.9	303.09	1784.9	3170.7	2103.6	2167	2103.6	378.01	2103.8	3619.8	2103.6	1150.8	1784.8	1371.3	2103.9	12129	1784.9	1844.7	2103.7	834.97	2103.6	1421.6	1785	1573	2103.5	602.63	1784.8	1812.9	1785	358.45	2103.7	454.87	1784.9	707.02	2103.5	1323.4	2103.8	1119.3	1785	1052.6	2103.5	665.74	2103.6	2190.9	2103.6	3039.5	2103.6	12126	2103.5	1081.8	2103.8	3712.3	2103.8	1100.8	2103.7	702.38	1784.9	1694.9
2479.8	1040.7	2103.7	711.04	2479.5	393.66	2479.9	1313.6	2479.8	293.26	2479.6	1246.1	2103.7	263.65	2103.7	4817.9	2479.6	2262.4	2479.6	318.68	2479.8	5294.1	2479.6	1762.3	2103.6	1268.2	2479.9	13201	2103.7	2507.8	2479.7	720.1	2479.6	1135.8	2103.8	1905.7	2479.5	584.83	2103.6	1960.9	2103.8	365.23	2479.7	375.8	2103.7	787.23	2479.5	1289.9	2479.8	1017.6	2103.8	1196	2479.5	512.62	2479.6	2882	2479.6	3238.5	2479.6	14305	2479.5	745.34	2479.8	3643.9	2479.8	1039.7	2479.7	561.51	2103.7	1703.3
2923	715.45	2479.7	675.77	2922.7	334.45	2923.1	1577.9	2923	297.5	2922.8	1038.4	2479.7	206.64	2479.7	6138.1	2922.8	1198.2	2922.8	387.45	2923	4898.3	2922.8	2219.6	2479.6	1815.9	2923.1	13949	2479.7	2573.7	2922.9	682.91	2922.8	894.32	2479.8	2140.2	2922.7	570.8	2479.6	1720.2	2479.8	384.42	2922.9	364.59	2479.7	627.9	2922.7	1223.7	2923	541.39	2479.8	853.14	2922.7	438.41	2922.8	3549.2	2922.8	3051.7	2922.8	12678	2922.7	563.35	2923	2719.5	2923	965.2	2922.9	645.82	2479.7	1489.7
3445.4	620.2	2922.9	607.58	3445.5	366.89	3445.5	1600.2	3445.4	306.73	3445.2	918.06	2922.9	198.48	2922.9	6003.4	3445.2	1065.8	3445.6	642.99	3445.4	6182.6	3445.2	2963.9	2922.8	3029.6	3445.5	13166	2922.9	1940.1	3445.3	777.23	3445.2	874.19	2923	2299	3445.5	584.73	2922.8	1245.7	2923	380.41	3445.3	356.11	2922.9	508.47	3445.5	1292.9	3445.4	427.06	2923	595.53	3445.5	394.93	3445.2	4066.1	3445.2	2717.1	3445.6	9174.6	3445.5	449.58	3445.4	1509.8	3445.4	1012.8	3445.3	825.13	2922.9	1399.5
4061	530.7	3445.3	559.87	4061.5	383.8	4061.5	1454.9	4061	368.54	4061.2	918.45	3445.3	179.55	3445.3	8020	4060.8	1196.1	4061.6	1011.8	4061	8122.6	4060.8	3499.1	3445.2	3813	4061.5	9366.3	3445.3	1474.9	4060.9	904.71	4061.2	780.79	3445.4	2762.1	4061.5	536.24	3445.2	1045.5	3445.4	462.35	4060.9	312.49	3445.3	478.67	4061.5	1257.3	4061.4	325.78	3445.4	423.35	4061.5	397.82	4060.8	4201.2	4060.8	2572.8	4061.6	6870	4061.5	465.4	4061.4	980.99	4061	1040.5	4060.9	807.66	3445.3	1414.1
4787	414.09	4061.3	567.49	4787.1	393.59	4787.5	1419.5	4787	634.97	4787.2	756.45	4061.3	145.62	4061.3	8476.2	4786.8	1810.2	4787.2	1408.5	4787	9387.1	4786.8	3800.2	4061.2	4861.1	4787.1	5985.5	4061.3	1100.8	4786.9	988.73	4787.2	776.39	4061.4	3025.8	4787.1	492.23	4061.2	1025.8	4061.4	891.93	4786.9	280.49	4061.3	421.95	4787.1	1165.6	4787.4	377.97	4061.4	330.12	4787.1	447.24	4786.8	4310.7	4786.8	2584.8	4787.2	5892.1	4787.1	534.57	4787.4	769.27	4787	970.89	4786.9	688.13	4061.3	1236.5
5643	401.73	4787.3	577.45	5642.7	477.02	5643.1	1514.5	5643	1209.7	5642.8	782.81	4787.3	111.35	4787.3	7619	5642.8	2598.7	5642.8	1565.8	5643	9926.3	5642.8	4215.3	4787.2	6778.5	5642.7	4051.7	4787.3	871	5642.9	851.73	5642.8	801.77	4787.4	3272.3	5642.7	476	4787.2	1018.4	4787.4	1515.5	5642.9	258.42	4787.3	391.19	5642.7	1061.4	5643	728.64	4787.4	281.94	5642.7	449.15	5642.8	4024.3	5642.8	2504.7	5642.8	5393.7	5642.7	614.11	5643	710.96	5643	958.55	5642.9	628.4	4787.3	1079.3
6651.8	387.88	5642.9	668.32	6651.5	677.99	6651.5	1412.4	6651.8	2692.7	6651.6	929.4	5642.9	94.792	5642.9	5836.9	6651.6	3031.3	6651.6	1735.6	6651.8	11925	6651.6	4389.4	5642.8	8639.4	6651.5	3397.2	5642.9	964.75	6651.7	553.01	6651.6	1013.6	5643	3308.7	6651.5	453.29	5642.8	995.56	5643	2370.2	6651.7	223.16	5642.9	352.89	6651.5	1044.2	6651.4	1201.4	5643	262.96	6651.5	402.1	6651.6	3650.6	6651.6	2488.2	6651.6	5064.2	6651.5	777.13	6651.4	700.5	6651.8	986.77	6651.7	757.84	5642.9	931.26
7840.6	475.73	6651.3	761.12	7840.3	871.49	7840.3	1398.8	7840.6	4044.2	7840.8	1102.2	6651.3	78.517	6651.3	4467.8	7840.4	2641.9	7840.4	1770.9	7840.6	13795	7840.4	4305.9	6651.6	10711	7840.3	3432.7	6651.3	1022.4	7840.5	572.66	7840.8	1330.1	6651.4	3032.4	7840.3	429.08	6651.6	1101.5	6651.4	3197	7840.5	239.86	6651.3	372.7	7840.3	1111	7840.2	1670.4	6651.4	251.25	7840.3	418.77	7840.4	3763.3	7840.4	2551.5	7840.4	4573.2	7840.3	953.07	7840.6	711.31	7840.6	1125.7	7840.5	993.38	6651.3	1082
9242.2	536.09	7840.5	948.99	9241.9	1060.5	9241.9	1583.6	9242.2	4027.8	9242.4	1290.2	7840.5	87.419	7840.5	3541.9	9242	1886	9242	1789.6	9242.2	13280	9242	3936.3	7840.8	11479	9241.9	3632	7840.5	1062.2	9242.1	1181.7	9242.4	1659.8	7840.6	3021.4	9241.9	400.66	7840.8	1186.8	7840.6	3117	9242.1	415.39	7840.5	462.31	9241.9	1350.9	9241.8	1796.8	7840.6	356.9	9241.9	518.14	9242	3997.8	9242	2471.2	9242	3910.9	9241.9	1150.2	9242.2	862.67	9242.2	1465.6	9242.1	1342.1	7840.5	1522.7
10894	627.84	9242.1	1339.7	10894	1171.8	10894	1849.1	10894	3352.5	10894	1425.1	9242.1	150.96	9242.1	2747.3	10894	1522.6	10894	1645.2	10894	9971.7	10894	3756.5	9242	11276	10894	3594.3	9242.1	1440.2	10894	2036.3	10894	1860.5	9242.2	2675.4	10894	399	9242	1355.4	9242.2	2573.9	10894	722.8	9242.1	789.47	10894	1600.1	10894	1903.1	9242.2	628.36	10894	857.05	10894	3860.9	10894	2487	10894	3377.2	10894	1329	10894	1007.3	10894	1850.7	10894	1771.4	9242.1	1970.3
12841	735.31	10894	1737.2	12842	1185.6	12842	1930.1	12841	2387.8	12842	1430.3	10894	279.22	10894	2040.9	12842	1272.4	12842	1074.8	12841	7300.3	12842	3697.2	10894	10100	12842	3222.3	10894	2047	12842	2805.4	12842	2019.8	10894	2129.6	12842	420.63	10894	1375.8	10894	2090.6	12842	1149.8	10894	1210.5	12842	2113	12842	1973.6	10894	1028.8	12842	997.35	12842	3213.4	12842	2542.3	12842	2905.1	12842	1251.4	12842	1158.1	12841	2002.6	12842	1839.9	10894	2063
15137	820.89	12842	1751.4	15138	1241.1	15137	1684.3	15137	1782.7	15137	1359.5	12842	394.78	12842	1598.7	15138	1052.3	15138	608.07	15137	5616.5	15138	3443.8	12842	7228.2	15137	2841.2	12842	2417.4	15138	2665.8	15137	2153.8	12842	1627.4	15138	434.39	12842	1394.2	12842	1846.2	15138	1526.9	12842	1525.7	15138	2374.1	15137	1895.9	12842	1437.4	15138	869.98	15138	2678.9	15138	2382.2	15138	2528.4	15138	1025.8	15137	1211.8	15137	1973.3	15137	1710.9	12842	2063.2
17843	790.23	15137	1613.3	17844	1149	17843	1426.4	17843	1388.6	17843	1321.9	15137	572.1	15137	1358.1	17844	902.77	17844	487.47	17843	4862.3	17844	2794.4	15137	4405.8	17843	2927	15137	2517.2	17844	2617.9	17843	2455.8	15137	1303.5	17844	433.5	15137	1455.6	15137	1549.6	17844	1533.3	15137	1577.2	17844	2231.5	17843	1762.2	15137	1535.3	17844	791.66	17844	2328.5	17844	2482.1	17844	2278.7	17844	706.4	17843	1101.5	17843	2177.4	17843	1537.2	15137	2372.8
21033	721.64	17843	1776.9	21033	1006.9	21033	1234.9	21033	1142.8	21033	1294.4	17843	695.54	17843	1325.5	21033	883.65	21033	450.35	21033	4604.7	21033	2522.8	17843	2927.7	21033	3133.8	17843	2459.5	21033	2356.4	21033	2766.5	17843	1122.2	21033	424.44	17843	1504.1	17843	1354.3	21033	1426.5	17843	1755	21033	2219.4	21033	1661.6	17843	1452.6	21033	720.78	21033	2049.6	21033	2415.7	21033	2082.3	21033	477.09	21033	990.5	21033	2184.2	21033	1456.3	17843	2866.1
24793	615.22	21033	1732	24793	905.66	24793	981.53	24793	1049.9	24793	1211.6	21033	711.29	21033	1379.2	24793	806.19	24793	464.29	24793	4355.7	24793	2389.5	21033	2361.3	24793	3203.3	21033	2189.7	24793	2170.9	24793	2605	21033	1028	24793	414.69	21033	1456.8	21033	1233.5	24793	1276.9	21033	2031.5	24793	2083.2	24793	1638.7	21033	1363.2	24793	638.3	24793	1937.8	24793	2268.4	24793	1936.4	24793	430.32	24793	853.5	24793	2216.9	24793	1402.9	21033	3115.5
29225	543.12	24793	1134.7	29226	819.08	29225	999.9	29225	1050.2	29225	1178.2	24793	603.75	24793	1422	29225	806.57	29226	542.99	29225	4282.2	29225	2297.3	24793	2226	29225	3196	24793	2106.5	29225	1980.6	29225	2335.3	24793	993.22	29226	406.1	24793	1427	24793	1203.6	29225	1121.9	24793	1928.4	29226	1947.7	29225	1499.4	24793	1294.9	29226	600	29225	1957	29225	2364.6	29226	2055.1	29226	462.21	29225	806.6	29225	2320.5	29225	1333.5	24793	3056.7
34450	572.37	29225	797.89	34450	794.74	34450	1112.4	34450	1121.5	34450	1182.1	29225	500.4	29225	1522	34450	896.44	34450	649.63	34450	4068.4	34450	2293.8	29225	2381.1	34450	3128.9	29225	2127.4	34450	1905.6	34450	2060.1	29225	1112.5	34450	414.76	29225	1402.8	29225	1189.8	34450	996.33	29225	1919.1	34450	1883.3	34450	1340.2	29225	1336.3	34450	622.05	34450	2070.6	34450	2488.6	34450	2303.8	34450	537.37	34450	882.36	34450	2389.7	34450	1189.5	29225	2899.5
40608	635.41	34450	828	40608	831.06	40608	1223.1	40608	1263.8	40608	1220.3	34450	459.46	34450	1701.4	40608	1018.4	40608	725.4	40608	3953.9	40608	2387.8	34450	2661.7	40608	3205.3	34450	2183.2	40608	2009.9	40608	1958.1	34450	1242.1	40608	444.76	34450	1428.2	34450	1235	40608	999.42	34450	1787.7	40608	1927.3	40608	1384.7	34450	1398.8	40608	695.64	40608	2234.4	40608	2669.3	40608	2603.1	40608	607.33	40608	992.78	40608	2488.1	40608	1157.3	34450	2714.3
47867	703.38	40608	970.38	47868	927.77	47868	1349.7	47867	1441.7	47868	1288	40608	455.92	40608	1915.8	47868	1154.5	47868	829.98	47867	3801	47868	2614.1	40608	2986	47868	3304.5	40608	2303	47868	2099.1	47868	2023.5	40608	1433.3	47868	491.53	40608	1508.5	40608	1297	47868	1098.3	40608	1712	47868	2062.1	47868	1538	40608	1393.5	47868	818.31	47868	2474.3	47868	2916	47868	2848.6	47868	683.38	47868	1096.5	47867	2625	47867	1297	40608	2645.7
56425	789.06	47868	1145	56425	1052	56425	1517.5	56425	1642.2	56425	1439.9	47868	488.88	47868	2155.1	56425	1304.4	56425	926.47	56425	3634.3	56424	2784.4	47868	3257.6	56425	3406.2	47868	2486.5	56424	2306.7	56425	2289.9	47868	1577.5	56425	556.06	47868	1639.4	47868	1449.2	56424	1257.7	47868	1788.8	56425	2280.9	56425	1749.9	47868	1457.5	56425	937.7	56425	2690.5	56425	3155.3	56425	3036.6	56425	773.73	56425	1226.1	56425	2790.4	56425	1487.8	47868	2765.5
66512	889.15	56425	1331.3	66512	1191.8	66512	1712.1	66511	1845.5	66512	1641.1	56425	559.43	56425	2396	66512	1453.3	66512	1033.4	66511	3484.7	66512	2949.2	56425	3410.7	66512	3456.1	56425	2714.5	66512	2580.3	66512	2593.5	56425	1757.6	66512	628.57	56425	1803.2	56425	1645.3	66512	1447.2	56425	1971.1	66512	2570.6	66512	1988.2	56425	1596.6	66512	1055.3	66512	2862.3	66512	3282.1	66512	3180.7	66512	865.19	66512	1380.6	66511	3000	66512	1694	56425	3006.9
78402	996.51	66512	1514.3	78402	1337.6	78402	1912.7	78402	2048.3	78402	1951.1	66512	647.42	66512	2588.9	78402	1601.7	78402	1141.4	78402	3423.8	78402	3080.8	66512	3407	78402	3440	66512	2976	78402	2816.1	78402	2824.8	66512	1966.4	78402	703.42	66512	2035	66512	1861.4	78402	1652.1	66512	2226.7	78402	2830.4	78402	2237.3	66512	1794.1	78402	1178.9	78402	3037.8	78402	3249.9	78402	3238	78402	965.67	78402	1535.8	78402	3195.1	78402	1913.5	66512	3156
92418	1104.9	78402	1682.9	92418	1483.4	92417	2108.8	92418	2237.8	92418	2151.5	78402	740.26	78402	2763.5	92418	1736.6	92418	1246.1	92418	3413.7	92418	3129.1	78402	3404.9	92417	3425.7	78402	3131.8	92418	2981.2	92418	2972.3	78402	2172.7	92418	779.38	78402	2293.8	78402	2076.5	92418	1859.3	78402	2528.2	92418	2992.3	92417	2478.9	78402	2026.5	92418	1315.2	92418	3122.7	92418	3209.9	92418	3286.9	92418	1054.2	92417	1686	92418	3269.3	92418	2121.5	78402	3131.5
0	NaN	92417	1853.2	0	NaN	0	NaN	0	NaN	0	NaN	92417	832.1	92417	2890	0	NaN	0	NaN	0	NaN	0	NaN	92417	3405.1	0	NaN	92417	3148.2	0	NaN	0	NaN	92417	2365.8	0	NaN	92417	2564.3	92417	2274.5	0	NaN	92417	2767.4	0	NaN	0	NaN	92417	2276.7	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	92417	3143.5
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN	0	NaN
